#ZeropointFile: y3a1_fgcm_all_v2_5_full_redux.fits
#AtmosphereFile: y3a1_fgcm_all_v2_5_atmospheres_StdAtm.fits
#FGCMVersion: 0.12.1
NVAR: 15
VARNAMES: ROW DES_SNID MJD EXPNUM PHASE zHD BAND MAGCOR FRACNEGFLUX FLUXCAL_MODEL CCDNUM FULL_CORRs gFlux rFlux iFlux zFlux
ROW: 1248677-56591.208-z 1248677 56591.208 246916 36.883 0.350 z -1.040e-02 0.000e+0 +9.169e+01 38 1 16.7973995209 49.2216339111 94.5076141357 91.6919708252
ROW: 1248677-56591.306-i 1248677 56591.306 246941 36.980 0.350 i +3.393e-03 0.000e+0 +9.451e+01 38 1 16.7973995209 49.2216339111 94.5076141357 91.6919708252
ROW: 1248677-56591.328-r 1248677 56591.328 246946 37.004 0.350 r -6.389e-03 0.000e+0 +4.922e+01 38 1 16.7973995209 49.2216339111 94.5076141357 91.6919708252
ROW: 1248677-56595.097-g 1248677 56595.097 248303 40.773 0.350 g +9.537e-04 1.313e-01 +1.301e+01 38 1 13.0068397522 40.9633369446 82.9102554321 83.6545791626
ROW: 1248677-56595.105-z 1248677 56595.105 1000 40.781 0.350 z -1.413e-03 0.000e+0 +8.365e+01 38 0 13.0068397522 40.9633369446 82.9102554321 83.6545791626
ROW: 1248677-56595.213-i 1248677 56595.213 248337 40.891 0.350 i +5.262e-03 0.000e+0 +8.291e+01 38 1 13.0068397522 40.9633369446 82.9102554321 83.6545791626
ROW: 1248677-56595.237-r 1248677 56595.237 248343 40.914 0.350 r -6.420e-03 0.000e+0 +4.096e+01 38 1 13.0068397522 40.9633369446 82.9102554321 83.6545791626
ROW: 1248677-56602.132-g 1248677 56602.132 251119 47.809 0.350 g -7.683e-03 2.197e-01 +1.077e+01 38 1 10.7662200928 29.9657096863 62.6598930359 62.4019889832
ROW: 1248677-56602.155-z 1248677 56602.155 251127 47.832 0.350 z -4.643e-03 0.000e+0 +6.240e+01 38 1 10.7662200928 29.9657096863 62.6598930359 62.4019889832
ROW: 1248677-56602.276-i 1248677 56602.276 251158 47.953 0.350 i +6.338e-03 0.000e+0 +6.266e+01 38 1 10.7662200928 29.9657096863 62.6598930359 62.4019889832
ROW: 1248677-56602.300-r 1248677 56602.300 251164 47.977 0.350 r -5.647e-03 0.000e+0 +2.997e+01 38 1 10.7662200928 29.9657096863 62.6598930359 62.4019889832
ROW: 1248677-56607.213-z 1248677 56607.213 252888 52.891 0.350 z +8.071e-03 0.000e+0 +5.029e+01 38 1 10.7662200928 25.4499397278 51.8311729431 50.289680481
ROW: 1248677-56607.276-i 1248677 56607.276 252910 52.953 0.350 i +7.343e-03 0.000e+0 +5.183e+01 38 1 10.7662200928 25.4499397278 51.8311729431 50.289680481
ROW: 1248677-56607.302-r 1248677 56607.302 252917 52.977 0.350 r -4.516e-03 0.000e+0 +2.545e+01 38 1 10.7662200928 25.4499397278 51.8311729431 50.289680481
ROW: 1248677-56611.222-z 1248677 56611.222 254252 56.898 0.350 z -5.837e-03 0.000e+0 +4.276e+01 38 1 7.63735961914 23.212480545 45.5570449829 42.7603416443
