# Created by makemaps.py - Dillon Brout
DEFINE_FIELDGROUP: SHALLOW E1+E2+S1+S2+C1+C2+X1+X2
DEFINE_FIELDGROUP: DEEP C3+X3

# =====================================
MAPNAME: FLUXERR_SCALE_SBMAG
BAND: g	FIELD: SHALLOW
NVAR: 2
VARNAMES:	SBMAG	ERRSCALE
ROW:		21.6500	1.93
ROW:		22.0500	1.83
ROW:		22.4500	1.66
ROW:		22.8500	1.47
ROW:		23.2500	1.31
ROW:		23.6500	1.22
ROW:		24.0500	1.16
ROW:		24.4500	1.13
ROW:		24.8500	1.12
ROW:		25.2500	1.10
ROW:		25.6500	1.07
ROW:		26.0500	1.06
ROW:		26.4500	1.05
ROW:		26.8500	1.03
ROW:		27.2500	1.03
ROW:		27.6500	1.05
ROW:		28.0500	1.05
ROW:		28.4500	1.04
ROW:		28.8500	1.09
ENDMAP:

MAPNAME: FLUXERR_SCALE_SBMAG
BAND: z	FIELD: DEEP
NVAR: 2
VARNAMES:	SBMAG	ERRSCALE
ROW:		20.7500	1.53
ROW:		21.1750	1.95
ROW:		21.6000	2.21
ROW:		22.0250	1.98
ROW:		22.4500	1.64
ROW:		22.8750	1.44
ROW:		23.3000	1.26
ROW:		23.7250	1.18
ROW:		24.1500	1.17
ROW:		24.5750	1.17
ROW:		25.0000	1.15
ROW:		25.4250	1.11
ROW:		25.8500	1.08
ROW:		26.2750	1.07
ROW:		26.7000	1.09
ROW:		27.1250	1.08
ROW:		27.5500	1.08
ROW:		27.9750	1.09
ROW:		28.4000	1.09
ROW:		28.8250	1.07
ENDMAP:

# =====================================
MAPNAME: FLUXERR_SCALE_PSF
BAND: g	FIELD: SHALLOW
NVAR: 2
VARNAMES:	PSF	ERRSCALE
ROW:		0.8000	0.99
ROW:		0.9000	1.01
ROW:		1.0000	1.02
ROW:		1.1000	1.02
ROW:		1.2000	1.01
ROW:		1.3000	1.02
ROW:		1.4000	1.02
ROW:		1.5000	1.02
ROW:		1.6000	1.02
ROW:		1.7000	1.02
ROW:		1.8000	1.01
ROW:		1.9000	1.02
ROW:		2.0000	1.03
ROW:		2.1000	1.03
ROW:		2.2000	1.03
ROW:		2.3000	1.03
ROW:		2.4000	1.03
ROW:		2.5000	1.03
ROW:		2.6000	1.03
ROW:		2.7000	1.03
ENDMAP:

MAPNAME: FLUXERR_SCALE_PSF
BAND: r	FIELD: SHALLOW
NVAR: 2
VARNAMES:	PSF	ERRSCALE
ROW:		0.8000	1.02
ROW:		0.9000	1.02
ROW:		1.0000	1.01
ROW:		1.1000	1.01
ROW:		1.2000	1.01
ROW:		1.3000	1.01
ROW:		1.4000	1.01
ROW:		1.5000	1.01
ROW:		1.6000	1.01
ROW:		1.7000	1.02
ROW:		1.8000	1.02
ROW:		1.9000	1.02
ROW:		2.0000	1.01
ROW:		2.1000	1.01
ROW:		2.2000	1.01
ROW:		2.3000	1.01
ROW:		2.4000	1.01
ROW:		2.5000	1.05
ROW:		2.6000	1.09
ROW:		2.7000	1.09
ENDMAP:

MAPNAME: FLUXERR_SCALE_PSF
BAND: i	FIELD: SHALLOW
NVAR: 2
VARNAMES:	PSF	ERRSCALE
ROW:		0.8000	1.02
ROW:		0.9000	1.02
ROW:		1.0000	1.02
ROW:		1.1000	1.02
ROW:		1.2000	1.01
ROW:		1.3000	1.02
ROW:		1.4000	1.02
ROW:		1.5000	1.02
ROW:		1.6000	1.02
ROW:		1.7000	1.01
ROW:		1.8000	1.00
ROW:		1.9000	1.01
ROW:		2.0000	1.01
ROW:		2.1000	1.02
ROW:		2.2000	1.03
ROW:		2.3000	1.05
ROW:		2.4000	1.06
ROW:		2.5000	1.05
ROW:		2.6000	1.05
ROW:		2.7000	1.04
ENDMAP:

MAPNAME: FLUXERR_SCALE_PSF
BAND: z	FIELD: SHALLOW
NVAR: 2
VARNAMES:	PSF	ERRSCALE
ROW:		0.8000	1.01
ROW:		0.9000	1.00
ROW:		1.0000	1.00
ROW:		1.1000	1.00
ROW:		1.2000	1.01
ROW:		1.3000	1.01
ROW:		1.4000	1.02
ROW:		1.5000	1.01
ROW:		1.6000	1.01
ROW:		1.7000	1.00
ROW:		1.8000	1.00
ROW:		1.9000	1.00
ROW:		2.0000	1.00
ROW:		2.1000	1.02
ROW:		2.2000	1.03
ROW:		2.3000	1.03
ROW:		2.4000	1.03
ROW:		2.5000	1.04
ROW:		2.6000	1.04
ROW:		2.7000	1.05
ENDMAP:

MAPNAME: FLUXERR_SCALE_PSF
BAND: g	FIELD: DEEP
NVAR: 2
VARNAMES:	PSF	ERRSCALE
ROW:		1.0000	0.96
ROW:		1.0900	0.98
ROW:		1.1800	0.99
ROW:		1.2700	1.00
ROW:		1.3600	1.00
ROW:		1.4500	1.01
ROW:		1.5400	1.03
ROW:		1.6300	1.05
ROW:		1.7200	1.07
ROW:		1.8100	1.08
ROW:		1.9000	1.06
ROW:		1.9900	1.03
ROW:		2.0800	1.01
ROW:		2.1700	0.99
ROW:		2.2600	0.97
ROW:		2.3500	0.96
ROW:		2.4400	0.97
ROW:		2.5300	1.00
ROW:		2.6200	1.03
ROW:		2.7100	1.05
ENDMAP:

MAPNAME: FLUXERR_SCALE_PSF
BAND: r	FIELD: DEEP
NVAR: 2
VARNAMES:	PSF	ERRSCALE
ROW:		1.0000	0.98
ROW:		1.0600	0.98
ROW:		1.1200	0.98
ROW:		1.1800	0.99
ROW:		1.2400	1.00
ROW:		1.3000	1.01
ROW:		1.3600	1.02
ROW:		1.4200	1.04
ROW:		1.4800	1.05
ROW:		1.5400	1.06
ROW:		1.6000	1.08
ROW:		1.6600	1.07
ROW:		1.7200	1.06
ROW:		1.7800	1.05
ROW:		1.8400	1.03
ROW:		1.9000	1.00
ROW:		1.9600	0.97
ROW:		2.0200	0.95
ROW:		2.0800	0.96
ROW:		2.1400	0.98
ENDMAP:

MAPNAME: FLUXERR_SCALE_PSF
BAND: i	FIELD: DEEP
NVAR: 2
VARNAMES:	PSF	ERRSCALE
ROW:		0.8000	0.97
ROW:		0.8800	0.98
ROW:		0.9600	0.98
ROW:		1.0400	0.99
ROW:		1.1200	1.00
ROW:		1.2000	1.01
ROW:		1.2800	1.02
ROW:		1.3600	1.03
ROW:		1.4400	1.03
ROW:		1.5200	1.03
ROW:		1.6000	1.03
ROW:		1.6800	1.03
ROW:		1.7600	1.03
ROW:		1.8400	1.03
ROW:		1.9200	1.04
ROW:		2.0000	1.05
ROW:		2.0800	1.06
ROW:		2.1600	1.06
ROW:		2.2400	1.10
ROW:		2.3200	1.17
ENDMAP:

MAPNAME: FLUXERR_SCALE_PSF
BAND: z	FIELD: DEEP
NVAR: 2
VARNAMES:	PSF	ERRSCALE
ROW:		0.8000	1.04
ROW:		0.8700	1.02
ROW:		0.9400	1.00
ROW:		1.0100	0.99
ROW:		1.0800	0.99
ROW:		1.1500	1.00
ROW:		1.2200	1.00
ROW:		1.2900	1.02
ROW:		1.3600	1.03
ROW:		1.4300	1.04
ROW:		1.5000	1.05
ROW:		1.5700	1.06
ROW:		1.6400	1.06
ROW:		1.7100	1.06
ROW:		1.7800	1.05
ROW:		1.8500	1.05
ROW:		1.9200	1.06
ROW:		1.9900	1.06
ROW:		2.0600	1.08
ROW:		2.1300	1.09
ENDMAP:

# =====================================
MAPNAME: FLUXERR_SCALE_LOGSNR
BAND: g	FIELD: SHALLOW
NVAR: 2
VARNAMES:	LOGSNR	ERRSCALE
ROW:		0.1250	0.78
ROW:		0.2250	0.85
ROW:		0.3250	0.93
ROW:		0.4250	0.99
ROW:		0.5250	1.03
ROW:		0.6250	1.06
ROW:		0.7250	1.05
ROW:		0.8250	1.03
ROW:		0.9250	1.02
ROW:		1.0250	1.02
ROW:		1.1250	1.02
ROW:		1.2250	1.03
ROW:		1.3250	1.03
ROW:		1.4250	1.05
ROW:		1.5250	1.07
ROW:		1.6250	1.10
ROW:		1.7250	1.13
ROW:		1.8250	1.17
ROW:		1.9250	1.20
ROW:		2.0250	1.24
ENDMAP:

MAPNAME: FLUXERR_SCALE_LOGSNR
BAND: r	FIELD: SHALLOW
NVAR: 2
VARNAMES:	LOGSNR	ERRSCALE
ROW:		0.1250	0.84
ROW:		0.2250	0.90
ROW:		0.3250	0.96
ROW:		0.4250	1.00
ROW:		0.5250	1.02
ROW:		0.6250	1.03
ROW:		0.7250	1.02
ROW:		0.8250	1.01
ROW:		0.9250	1.01
ROW:		1.0250	1.02
ROW:		1.1250	1.02
ROW:		1.2250	1.03
ROW:		1.3250	1.04
ROW:		1.4250	1.04
ROW:		1.5250	1.05
ROW:		1.6250	1.06
ROW:		1.7250	1.09
ROW:		1.8250	1.12
ROW:		1.9250	1.14
ROW:		2.0250	1.17
ENDMAP:

MAPNAME: FLUXERR_SCALE_LOGSNR
BAND: i	FIELD: SHALLOW
NVAR: 2
VARNAMES:	LOGSNR	ERRSCALE
ROW:		0.1250	0.87
ROW:		0.2250	0.92
ROW:		0.3250	0.97
ROW:		0.4250	1.00
ROW:		0.5250	1.01
ROW:		0.6250	1.02
ROW:		0.7250	1.01
ROW:		0.8250	1.01
ROW:		0.9250	1.01
ROW:		1.0250	1.01
ROW:		1.1250	1.01
ROW:		1.2250	1.03
ROW:		1.3250	1.04
ROW:		1.4250	1.05
ROW:		1.5250	1.05
ROW:		1.6250	1.06
ROW:		1.7250	1.06
ROW:		1.8250	1.07
ROW:		1.9250	1.09
ROW:		2.0250	1.13
ENDMAP:

MAPNAME: FLUXERR_SCALE_LOGSNR
BAND: z	FIELD: SHALLOW
NVAR: 2
VARNAMES:	LOGSNR	ERRSCALE
ROW:		0.1250	0.86
ROW:		0.2250	0.92
ROW:		0.3250	0.97
ROW:		0.4250	1.00
ROW:		0.5250	1.02
ROW:		0.6250	1.03
ROW:		0.7250	1.03
ROW:		0.8250	1.02
ROW:		0.9250	1.02
ROW:		1.0250	1.02
ROW:		1.1250	1.02
ROW:		1.2250	1.02
ROW:		1.3250	1.02
ROW:		1.4250	1.02
ROW:		1.5250	1.03
ROW:		1.6250	1.03
ROW:		1.7250	1.05
ROW:		1.8250	1.07
ROW:		1.9250	1.10
ROW:		2.0250	1.16
ENDMAP:

MAPNAME: FLUXERR_SCALE_LOGSNR
BAND: g	FIELD: DEEP
NVAR: 2
VARNAMES:	LOGSNR	ERRSCALE
ROW:		0.1250	0.64
ROW:		0.2250	0.75
ROW:		0.3250	0.86
ROW:		0.4250	0.97
ROW:		0.5250	1.07
ROW:		0.6250	1.17
ROW:		0.7250	1.15
ROW:		0.8250	1.12
ROW:		0.9250	1.10
ROW:		1.0250	1.06
ROW:		1.1250	1.03
ROW:		1.2250	1.01
ROW:		1.3250	0.99
ROW:		1.4250	1.00
ROW:		1.5250	1.02
ROW:		1.6250	1.05
ROW:		1.7250	1.05
ROW:		1.8250	1.06
ROW:		1.9250	1.06
ROW:		2.0250	1.06
ENDMAP:

MAPNAME: FLUXERR_SCALE_LOGSNR
BAND: r	FIELD: DEEP
NVAR: 2
VARNAMES:	LOGSNR	ERRSCALE
ROW:		0.1250	0.84
ROW:		0.2250	0.90
ROW:		0.3250	0.96
ROW:		0.4250	1.00
ROW:		0.5250	1.02
ROW:		0.6250	1.04
ROW:		0.7250	1.02
ROW:		0.8250	0.99
ROW:		0.9250	0.99
ROW:		1.0250	1.00
ROW:		1.1250	1.01
ROW:		1.2250	1.03
ROW:		1.3250	1.05
ROW:		1.4250	1.05
ROW:		1.5250	1.04
ROW:		1.6250	1.04
ROW:		1.7250	1.06
ROW:		1.8250	1.09
ROW:		1.9250	1.11
ROW:		2.0250	1.12
ENDMAP:

MAPNAME: FLUXERR_SCALE_LOGSNR
BAND: i	FIELD: DEEP
NVAR: 2
VARNAMES:	LOGSNR	ERRSCALE
ROW:		0.1250	0.86
ROW:		0.2250	0.92
ROW:		0.3250	0.98
ROW:		0.4250	1.02
ROW:		0.5250	1.04
ROW:		0.6250	1.06
