Name specz mag_g e_mag_g mag_r e_mag_r mag_i e_mag_i mag_z e_mag_z logm e_logm
DES13C2bxd 0.0405 22.06 0.01 21.77 0.01 21.73 0.01 21.59 0.02 7.25 0.1
DES13C3ui 0.0667 20.8 0.0 20.54 0.0 20.42 0.0 20.35 0.01 8.22 0.1
DES13X3fca 0.0962 17.7 0.0 17.0 0.0 16.76 0.0 16.74 0.0 10.07 0.1
DES13C1feu 0.0598 16.3 0.0 15.61 0.0 15.42 0.0 15.24 0.0 10.29 0.1
DES13C2jtx 0.223 19.73 0.0 18.75 0.0 18.29 0.0 18.13 0.0 10.53 0.1
DES15C3bj 0.2874 20.8 0.0 20.07 0.0 19.72 0.0 19.54 0.0 9.98 0.1
DES15S1by 0.1293 20.18 0.0 19.72 0.0 19.5 0.0 19.36 0.0 9.23 0.11
DES15S1cj 0.1668 20.12 0.01 19.25 0.01 19.0 0.01 18.3 0.0 10.1 0.1
DES14X2cy 0.2323 21.58 0.01 21.05 0.0 20.7 0.0 20.67 0.01 9.19 0.1
DES14E2ar 0.1217 18.92 0.0 18.83 0.0 18.57 0.0 18.53 0.0 9.17 0.1
DES14C3aol 0.0761 16.99 0.0 16.2 0.0 15.76 0.0 15.24 0.0 10.8 0.1
DES14X2fna 0.0452 20.5 0.0 20.17 0.0 20.01 0.0 19.95 0.01 8.08 0.1
DES14X1qt 0.139 18.85 0.0 18.36 0.0 17.96 0.0 17.74 0.0 10.05 0.1
DES14X3ili 0.142 20.96 0.0 20.48 0.0 20.12 0.0 20.16 0.0 8.95 0.1
DES15E1iuh 0.1052 24.27 0.05 23.92 0.05 23.68 0.06 23.4 0.07 7.34 0.14
DES15C2lpp 0.1802 19.19 0.0 18.43 0.0 17.96 0.0 17.82 0.0 10.37 0.1
DES15C2lna 0.0696 17.6 0.0 17.05 0.0 16.77 0.0 16.63 0.0 9.89 0.1
DES15X2mku 0.0823 20.42 0.0 20.1 0.0 19.84 0.01 19.8 0.01 8.67 0.1
DES15X3mpq 0.1873 19.4 0.0 18.69 0.0 18.36 0.0 18.16 0.0 10.2 0.1
DES15X3nad 0.0946 17.97 0.0 17.42 0.0 17.13 0.0 16.69 0.0 10.11 0.1
DES16E1ah 0.1488 21.64 0.01 21.08 0.01 20.87 0.01 20.78 0.01 8.84 0.1
DES16X1ey 0.0734 19.75 0.0 19.16 0.0 18.99 0.0 18.92 0.0 8.94 0.1
DES16C3at 0.2175 22.34 0.01 21.8 0.0 21.59 0.01 21.49 0.01 8.76 0.1
DES16X3jj 0.2377 22.87 0.01 22.32 0.01 22.1 0.01 22.0 0.01 8.62 0.11
DES16X3km 0.0546 20.37 0.0 20.11 0.0 19.98 0.0 19.97 0.0 8.2 0.1
DES16X3aqd 0.0327 17.8 0.0 17.45 0.0 17.31 0.0 17.24 0.0 8.88 0.1
DES16X2bkr 0.1595 22.64 0.02 22.28 0.01 22.0 0.02 22.06 0.02 8.04 0.1
DES16X2bvf 0.1353 21.53 0.01 21.19 0.01 20.98 0.01 20.93 0.01 8.44 0.11
DES16C1cbg 0.1108 20.76 0.0 20.23 0.0 19.99 0.0 19.89 0.01 8.97 0.1
DES16C2cbv 0.1088 21.72 0.01 21.56 0.01 21.34 0.01 21.37 0.01 7.93 0.11
DES16X3dvb 0.328 20.28 0.0 19.14 0.0 18.63 0.0 18.38 0.0 10.84 0.1
DES17C3de 0.1074 18.67 0.0 18.09 0.0 17.8 0.0 17.55 0.0 9.9 0.1
DES17E2ci 0.1266 19.49 0.0 18.97 0.0 18.68 0.0 18.55 0.0 9.62 0.1
DES17X3ct 0.2053 20.56 0.0 19.73 0.0 19.24 0.0 19.13 0.0 9.99 0.1
DES17X3bd 0.1414 19.84 0.0 19.03 0.0 18.54 0.0 18.49 0.0 9.91 0.1
DES17E2cc 0.1479 19.34 0.0 18.83 0.0 18.54 0.0 18.39 0.0 9.81 0.1
DES17S1lu 0.0841 19.47 0.0 19.05 0.0 18.87 0.0 18.8 0.0 9.11 0.1
DES17X2ls 0.2516 20.86 0.0 20.19 0.0 19.86 0.0 19.73 0.0 9.76 0.1
DES17C3dw 0.1636 24.89 0.04 24.62 0.03 24.58 0.05 24.54 0.08 7.18 0.14
DES17C2pf 0.1362 25.0 0.08 24.65 0.08 24.44 0.09 24.4 0.11 7.11 0.19
DES17X1aow 0.1389 19.19 0.0 18.11 0.0 17.65 0.0 17.39 0.0 10.69 0.14
DES17X1axb 0.1384 19.56 0.01 19.11 0.0 18.96 0.0 18.86 0.0 9.5 0.1
DES17C3aye 0.1572 19.84 0.0 19.3 0.0 19.01 0.0 18.76 0.0 9.75 0.1
DES17C3bei 0.1038 17.56 0.0 16.97 0.0 16.6 0.0 16.42 0.0 10.35 0.1
DES17E2bhj 0.1864 19.02 0.0 18.3 0.0 18.01 0.0 17.8 0.0 10.34 0.1
DES17X3dub 0.1218 21.54 0.0 21.17 0.0 20.97 0.0 20.93 0.01 8.54 0.1
DES17C1ffz 0.0908 19.3 0.0 18.81 0.0 18.51 0.0 18.45 0.0 9.39 0.1
