Name specz mag_g e_mag_g mag_r e_mag_r mag_i e_mag_i mag_z e_mag_z logm e_logm
DES15X1ebs 0.5767 23.57 0.09 21.54 0.01 20.53 0.01 19.98 0.0 11.07 0.12
DES15C3edd 0.3498 22.27 0.01 20.68 0.0 19.96 0.0 19.8 0.0 10.63 0.1
DES14S1kdq 0.3272 21.76 0.01 20.96 0.01 20.82 0.01 20.59 0.01 9.54 0.1
DES15X3flq 0.368 21.6 0.01 19.99 0.0 19.45 0.0 19.06 0.0 10.71 0.1
DES15C3efn 0.0777 16.55 0.0 16.11 0.0 15.75 0.0 15.72 0.0 10.34 0.1
DES14C3mpt 0.334 22.99 0.01 22.13 0.01 21.89 0.01 21.53 0.01 9.3 0.1
DES15X3itc 0.3377 20.5 0.0 19.28 0.0 18.82 0.0 18.4 0.0 10.86 0.1
DES14C1qty 0.1478 19.89 0.0 19.08 0.0 18.71 0.0 18.16 0.0 10.12 0.1
DES15X1ith 0.1556 19.41 0.0 18.05 0.0 17.37 0.0 17.05 0.0 11.1 0.1
DES14X2raq 0.2381 21.58 0.01 20.32 0.0 19.86 0.0 19.55 0.0 10.03 0.12
DES14E1rph 0.1053 18.51 0.0 17.5 0.0 16.91 0.0 16.86 0.0 10.69 0.1
DES15X3kqv 0.1423 19.63 0.0 18.86 0.0 18.49 0.0 18.28 0.0 9.97 0.1
DES14E2rpm 0.3217 20.97 0.01 20.21 0.0 19.95 0.0 19.69 0.0 9.94 0.1
DES14C2rsj 0.3093 20.22 0.0 19.5 0.0 19.21 0.0 18.92 0.0 10.21 0.1
DES15E2kvn 0.2079 19.21 0.0 18.02 0.0 17.56 0.0 17.2 0.0 11.03 0.11
DES15E1kvp 0.4427 20.21 0.0 19.01 0.0 18.6 0.0 18.24 0.0 11.08 0.1
DES15X3kxu 0.3455 20.96 0.0 19.64 0.0 19.15 0.0 18.74 0.0 10.82 0.1
DES15E1kwg 0.1064 20.66 0.0 20.09 0.0 19.8 0.0 19.72 0.0 9.03 0.1
DES15S1lyi 0.3589 21.94 0.01 21.24 0.01 21.2 0.01 20.93 0.01 9.27 0.1
DES15X2lxw 0.1972 20.03 0.0 19.21 0.0 18.81 0.0 18.64 0.0 10.11 0.1
DES15X2mei 0.2322 20.44 0.0 19.35 0.0 18.88 0.0 18.69 0.0 10.37 0.1
DES15S1mjm 0.2541 18.89 0.0 18.36 0.0 18.04 0.0 17.99 0.0 10.22 0.1
DES15S2mpg 0.1858 20.69 0.01 20.27 0.0 20.11 0.0 20.03 0.01 9.16 0.1
DES15S2mpl 0.257 20.69 0.0 19.96 0.0 19.6 0.0 19.44 0.0 9.96 0.1
DES15C3mpk 0.1814 19.73 0.0 18.95 0.0 18.52 0.0 18.29 0.0 10.21 0.1
DES15X2mpm 0.2348 22.56 0.02 22.12 0.02 22.03 0.02 21.93 0.02 8.57 0.1
DES15C1mqf 0.1109 17.39 0.0 16.62 0.0 16.16 0.0 15.87 0.0 10.78 0.1
DES15C1mvy 0.3292 24.21 0.03 23.61 0.03 23.54 0.04 23.37 0.05 8.24 0.11
DES15E1nei 0.3127 22.68 0.01 22.01 0.01 21.86 0.01 21.64 0.01 8.95 0.1
DES15E1neh 0.3878 22.55 0.01 21.09 0.0 20.66 0.0 20.36 0.0 10.13 0.1
DES15X3naa 0.3316 22.29 0.01 21.61 0.0 21.36 0.01 21.1 0.01 9.27 0.1
DES15C1nfb 0.1308 19.12 0.0 17.59 0.0 18.34 0.0 18.43 0.0 10.91 0.1
DES15C1nfb 0.1308 18.11 0.0 17.2 0.0 16.67 0.0 16.32 0.0 10.91 0.1
DES15X2nkl 0.3036 21.07 0.01 19.8 0.0 19.25 0.0 18.98 0.0 10.65 0.11
DES15C2njv 0.1819 19.98 0.0 18.93 0.0 18.49 0.0 18.26 0.0 10.28 0.1
DES15C3olc 0.0668 17.79 0.0 17.35 0.0 17.11 0.0 16.93 0.0 9.7 0.1
DES15C2oxo 0.3356 21.66 0.01 20.96 0.0 20.8 0.0 20.54 0.01 9.45 0.1
DES16X3es 0.5544 22.26 0.01 21.04 0.0 20.54 0.0 20.31 0.0 10.39 0.11
DES16X3er 0.171 21.26 0.0 20.78 0.0 20.57 0.0 20.44 0.0 8.96 0.11
DES16E1md 0.1779 18.48 0.0 17.73 0.0 17.43 0.0 17.21 0.0 10.55 0.1
DES16C3fv 0.3221 21.65 0.0 21.06 0.0 20.93 0.0 20.7 0.0 9.29 0.1
DES16X1ge 0.2528 22.55 0.04 21.66 0.01 21.33 0.01 20.94 0.01 9.49 0.1
DES16X3hj 0.308 19.82 0.0 18.73 0.0 18.24 0.0 18.04 0.0 10.92 0.1
DES16C3bq 0.2371 19.43 0.0 18.43 0.0 17.97 0.0 17.74 0.0 10.76 0.1
DES16E1de 0.2918 22.95 0.02 22.46 0.02 22.53 0.02 22.61 0.03 8.45 0.1
DES16E2dd 0.0741 17.23 0.0 16.66 0.0 16.4 0.0 16.18 0.0 10.14 0.1
DES16C3ea 0.2165 21.07 0.0 20.18 0.0 19.65 0.0 19.37 0.0 10.02 0.1
DES16C2aiy 0.1821 18.91 0.0 18.39 0.0 18.08 0.0 17.91 0.0 10.18 0.1
DES16X2auj 0.1438 18.7 0.0 17.97 0.0 17.59 0.0 17.42 0.0 10.3 0.1
DES16E2aoh 0.4033 20.67 0.0 19.48 0.0 19.04 0.0 18.71 0.0 10.83 0.1
DES16S1ffb 0.1641 18.82 0.0 17.66 0.0 17.24 0.0 16.91 0.0 10.95 0.14
DES16E2bkg 0.4779 23.64 0.03 22.7 0.02 22.48 0.02 22.3 0.02 9.09 0.1
DES16C1bnt 0.3509 21.1 0.01 19.67 0.0 19.12 0.0 18.82 0.0 10.79 0.12
DES16X3biz 0.2384 19.1 0.0 17.87 0.0 17.29 0.0 17.09 0.0 11.14 0.11
DES16E2bht 0.3924 22.15 0.01 20.48 0.0 19.91 0.0 19.57 0.0 10.52 0.12
DES16E1ciy 0.1735 21.39 0.01 20.85 0.0 20.64 0.01 20.5 0.01 9.05 0.1
DES16X2ceg 0.3353 21.22 0.01 20.09 0.0 19.65 0.0 19.34 0.0 10.41 0.1
DES16E2cjg 0.4794 21.37 0.01 19.84 0.0 19.29 0.0 18.9 0.0 11.01 0.1
DES16X1chc 0.0432 15.91 0.0 15.21 0.0 14.86 0.0 14.57 0.0 10.39 0.1
DES16E2clk 0.367 23.14 0.02 22.25 0.01 22.02 0.01 21.9 0.02 9.15 0.11
DES16S1cps 0.2741 22.82 0.02 21.94 0.01 21.61 0.01 21.44 0.01 9.24 0.1
DES16X2cpn 0.278 19.7 0.0 18.22 0.0 17.76 0.0 17.49 0.0 11.29 0.1
DES16X2crr 0.3119 21.86 0.01 20.87 0.0 20.41 0.01 20.15 0.0 9.97 0.1
DES16E2crb 0.2289 21.75 0.01 21.13 0.01 20.89 0.01 20.76 0.01 9.19 0.1
DES16E2cqq 0.4254 23.28 0.02 22.4 0.01 22.18 0.02 21.97 0.02 9.13 0.1
DES16X3dfk 0.1487 17.05 0.0 16.17 0.0 15.74 0.0 15.64 0.0 11.08 0.1
DES16E2cxw 0.2924 21.87 0.01 20.56 0.0 20.12 0.0 19.81 0.0 10.09 0.1
DES16X1dbw 0.3358 22.63 0.03 21.75 0.01 21.58 0.02 21.24 0.02 9.36 0.1
DES16E1dcx 0.4522 22.49 0.01 20.88 0.0 20.24 0.0 19.82 0.0 10.71 0.11
DES16S2dfm 0.2916 19.94 0.0 18.58 0.0 18.09 0.0 17.74 0.0 10.98 0.11
DES16C3dhv 0.2996 20.76 0.0 20.13 0.0 19.91 0.0 19.67 0.0 9.68 0.1
DES16C3dhy 0.2763 22.67 0.01 21.97 0.0 21.73 0.0 21.53 0.0 9.08 0.1
DES16E1dic 0.2068 19.42 0.0 18.8 0.0 18.49 0.0 18.33 0.0 10.17 0.1
DES16X1der 0.453 22.23 0.02 21.18 0.01 20.79 0.01 20.49 0.01 10.13 0.1
DES16E2drd 0.2698 21.81 0.01 20.67 0.0 20.17 0.0 19.86 0.0 10.13 0.1
DES16X1drk 0.4622 22.03 0.02 20.16 0.0 19.63 0.0 19.24 0.0 10.83 0.1
DES16X2dzz 0.3217 21.82 0.01 20.53 0.0 20.03 0.0 19.8 0.0 10.26 0.12
DES16S2drt 0.3309 22.6 0.01 21.98 0.01 21.91 0.01 21.7 0.01 8.89 0.1
DES16E1eae 0.534 22.96 0.02 21.96 0.01 21.5 0.01 21.23 0.01 10.0 0.1
DES16S2ean 0.1609 20.61 0.0 19.55 0.0 19.08 0.0 18.79 0.0 10.04 0.11
DES16E1eef 0.3261 22.11 0.01 20.91 0.0 20.44 0.0 20.05 0.0 10.19 0.1
DES16C2ege 0.3482 21.37 0.01 20.24 0.0 19.78 0.0 19.44 0.0 10.41 0.1
DES16X3enk 0.3305 21.22 0.0 19.72 0.0 19.12 0.0 18.88 0.0 10.87 0.11
DES16S2ffk 0.3724 21.71 0.01 20.06 0.0 19.47 0.0 19.14 0.0 10.67 0.13
DES16X3eww 0.151 20.32 0.0 19.48 0.0 19.02 0.0 18.87 0.0 9.85 0.1
DES16C1fgm 0.361 22.85 0.01 21.31 0.0 20.76 0.0 20.48 0.0 10.06 0.13
DES16X1few 0.311 22.34 0.02 21.02 0.01 20.54 0.0 20.19 0.01 10.12 0.11
DES17E2a 0.2952 21.58 0.01 20.28 0.0 19.82 0.0 19.52 0.0 10.24 0.11
DES17E2b 0.2275 19.84 0.0 18.55 0.0 18.08 0.0 17.79 0.0 10.75 0.13
DES17S2lg 0.3394 21.48 0.01 19.98 0.0 19.46 0.0 19.14 0.0 10.54 0.1
DES17E2aq 0.3512 21.8 0.01 20.78 0.0 20.39 0.0 20.06 0.0 10.07 0.1
DES17E2ar 0.513 22.58 0.01 21.24 0.01 20.69 0.0 20.34 0.0 10.48 0.1
DES17E2bx 0.2724 20.54 0.0 20.01 0.0 19.77 0.0 19.52 0.0 9.73 0.1
DES17X3az 0.4725 22.74 0.01 21.69 0.0 21.0 0.0 20.87 0.0 10.13 0.1
DES17E2bw 0.1476 18.36 0.0 17.51 0.0 17.03 0.0 16.75 0.0 10.73 0.1
DES17E2ce 0.2693 23.78 0.03 23.2 0.02 23.06 0.03 23.06 0.04 8.34 0.12
DES17E1by 0.2864 19.8 0.0 19.02 0.0 18.72 0.0 18.53 0.0 10.38 0.1
DES17X3cb 0.3171 19.47 0.0 17.91 0.0 17.27 0.0 17.1 0.0 11.64 0.1
DES17C3eg 0.1171 18.38 0.0 17.72 0.0 17.34 0.0 17.2 0.0 10.19 0.1
DES17C2ou 0.1031 17.65 0.0 16.91 0.0 16.49 0.0 16.21 0.0 10.55 0.1
DES17E2sp 0.3129 20.05 0.0 18.9 0.0 18.44 0.0 18.13 0.0 10.88 0.1
DES17S1bch 0.1362 19.11 0.0 18.03 0.0 17.57 0.0 17.25 0.0 10.52 0.14
DES17C1ald 0.1309 17.57 0.0 16.88 0.0 16.52 0.0 16.39 0.0 10.62 0.1
DES17C2acb 0.346 23.58 0.03 22.92 0.02 22.91 0.03 22.71 0.03 8.57 0.11
DES17X1alj 0.2399 22.28 0.02 20.98 0.0 20.53 0.01 20.27 0.01 9.92 0.13
DES17S2als 0.3885 23.47 0.04 22.69 0.02 22.54 0.02 22.48 0.03 8.83 0.1
DES17X2agh 0.3065 20.66 0.0 19.81 0.0 19.47 0.0 19.24 0.0 10.19 0.1
DES17E1axa 0.2363 22.2 0.01 21.62 0.01 21.47 0.01 21.38 0.01 8.92 0.1
DES17S1aya 0.306 20.62 0.0 19.68 0.0 19.28 0.0 18.96 0.0 10.35 0.1
DES17X1ayb 0.292 21.72 0.02 20.88 0.0 20.6 0.01 20.46 0.01 9.63 0.1
DES17E1beg 0.2219 20.09 0.0 19.31 0.0 18.91 0.0 18.7 0.0 10.18 0.1
DES17C1bat 0.1968 19.6 0.0 18.81 0.0 18.36 0.0 18.21 0.0 10.3 0.1
DES17C3blq 0.5107 22.75 0.01 21.8 0.0 21.48 0.0 21.13 0.0 9.69 0.1
DES17E1bmf 0.5656 23.36 0.04 21.58 0.01 20.9 0.01 20.53 0.01 10.5 0.1
DES17E2bmb 0.4223 24.21 0.05 23.38 0.03 23.11 0.03 23.04 0.04 8.71 0.12
DES17X2blx 0.3442 22.15 0.01 21.45 0.01 21.27 0.01 21.03 0.01 9.29 0.1
DES17S1bof 0.2254 20.09 0.0 19.12 0.0 18.62 0.0 18.34 0.0 10.47 0.1
DES17E2boo 0.2877 20.96 0.0 19.93 0.0 19.46 0.0 19.15 0.0 10.36 0.1
DES17S2bph 0.3614 21.56 0.01 20.32 0.0 19.8 0.0 19.5 0.0 10.5 0.1
DES17C1bql 0.1954 24.97 0.04 24.94 0.06 25.8 -9999.0 25.95 -9999.0 10.58 0.1
DES17C1bql 0.1954 18.43 0.0 17.74 0.0 17.39 0.0 17.27 0.0 10.58 0.1
DES17E1bis 0.2503 22.26 0.01 21.6 0.01 21.36 0.01 21.26 0.01 9.07 0.1
DES17C2bqz 0.6103 22.94 0.02 21.73 0.01 21.11 0.01 20.69 0.01 10.51 0.1
DES17X3bhi 0.3794 26.26 0.22 25.27 0.08 25.07 0.12 25.07 0.17 7.9 0.16
DES17S2byx 0.3097 23.12 0.03 21.91 0.01 21.41 0.01 21.05 0.01 9.78 0.1
DES17E2bro 0.2224 24.16 0.06 23.51 0.04 23.21 0.04 23.23 0.06 8.21 0.13
DES17E1byv 0.3782 21.45 0.01 20.04 0.0 19.55 0.0 19.24 0.0 10.63 0.11
DES17E1bud 0.5522 22.35 0.02 20.72 0.01 19.96 0.0 19.52 0.0 10.98 0.11
DES17X3btv 0.4065 22.16 0.01 20.5 0.0 19.82 0.0 19.59 0.0 10.81 0.16
DES17X1cuy 0.5719 23.18 0.05 22.26 0.02 21.9 0.02 21.84 0.03 9.54 0.11
DES17X2cng 0.2668 20.63 0.0 19.73 0.0 19.29 0.0 19.08 0.0 10.23 0.1
DES17E1dgn 0.453 22.53 0.02 21.35 0.01 20.98 0.01 20.68 0.01 10.07 0.1
DES17C3doq 0.3197 21.1 0.0 20.47 0.0 20.34 0.0 20.08 0.0 9.53 0.1
DES17X1diq 0.6255 23.83 0.1 21.94 0.01 21.09 0.01 20.78 0.01 10.49 0.1
DES17X1dwi 0.2523 22.24 0.03 21.51 0.01 21.32 0.01 21.26 0.02 9.1 0.1
DES17X2dwm 0.2998 21.38 0.01 20.35 0.0 19.88 0.0 19.58 0.0 10.19 0.1
DES17S1emx 0.1859 21.43 0.01 20.8 0.01 20.55 0.01 20.42 0.01 9.21 0.1
DES17C3dxw 0.6226 22.83 0.01 21.98 0.0 21.61 0.0 19.94 0.0 10.15 0.1
DES17S2ebs 0.304 22.07 0.01 21.4 0.01 21.23 0.01 21.05 0.01 9.21 0.1
DES17C3evg 0.3381 21.81 0.0 20.57 0.0 20.08 0.0 19.65 0.0 10.41 0.1
DES17E1fmy 0.1502 17.51 0.0 16.68 0.0 16.31 0.0 16.04 0.0 10.96 0.1
DES17C2gjd 0.3701 21.09 0.0 19.98 0.0 19.54 0.0 19.16 0.0 10.54 0.1
DES17C2gjg 0.3451 24.48 0.05 23.81 0.04 23.63 0.04 23.4 0.05 8.32 0.12
DES17X1gcm 0.1987 21.9 0.02 21.26 0.01 21.06 0.01 20.98 0.01 9.01 0.1
DES17E2gjj 0.4333 22.09 0.01 21.1 0.0 20.79 0.01 20.51 0.01 9.89 0.1
DES17X3gjl 0.1999 20.81 0.0 19.94 0.0 19.37 0.0 19.27 0.0 9.97 0.1
DES17X1gep 0.3836 20.81 0.0 19.95 0.0 19.62 0.0 19.35 0.0 10.24 0.1
DES17E2gsy 0.2467 20.27 0.01 18.88 0.0 18.39 0.0 17.92 0.0 11.02 0.11
DES17C1gye 0.3161 21.61 0.01 20.7 0.0 20.43 0.0 20.22 0.01 9.83 0.1
DES17X1hcy 0.337 21.39 0.02 20.45 0.0 20.19 0.01 19.87 0.01 10.02 0.1
