SNID,IDSURVEY,RA,DEC,HOSTGAL_OBJID,HOSTGAL_RA,HOSTGAL_DEC,HOSTGAL_SPECZ,HOSTGAL_PHOTOZ,FULL_SNID
ASASSN-16bq,150,212.860434,1.285972,0,-999,-999,-9,-9,
ASASSN-16br,150,236.376231,-13.152811,0,-999,-999,-9,-9,
ASASSN-16ct,150,228.476312,4.757256,0,-999,-999,-9,-9,
ASASSN-16db,150,167.357227,29.573201,0,-999,-999,-9,-9,
ASASSN-16dw,150,202.503228,-27.973939,0,-999,-999,-9,-9,
ASASSN-16fo,150,203.149166,-5.272513,0,-999,-999,-9,-9,
ASASSN-16fs,150,221.776669,11.59492,0,-999,-999,-9,-9,
ASASSN-16hc,150,209.768368,33.139016,0,-999,-999,-9,-9,
ASASSN-16hr,150,336.38237,38.984358,0,-999,-999,-9,-9,
ASASSN-16oz,150,135.055632,-13.633959,0,-999,-999,-9,-9,
ASASSN-17at,150,174.640347,25.397128,0,-999,-999,-9,-9,
ASASSN-17eb,150,234.641762,13.34778,0,-999,-999,-9,-9,
AT2016aj,150,70.602539,-21.724373,0,-999,-999,-9,-9,
AT2016cor,150,236.13008,16.303511,0,-999,-999,-9,-9,
AT2016cvv,150,290.120165,54.208686,0,-999,-999,-9,-9,
AT2016cvw,150,341.553308,10.558845,0,-999,-999,-9,-9,
AT2016cyt,150,317.399304,15.125497,0,-999,-999,-9,-9,
AT2016ews,150,225.65234,23.352818,0,-999,-999,-9,-9,
AT2016gmg,150,320.924302,33.114734,0,-999,-999,-9,-9,
AT2016gsu,150,17.102448,21.151623,0,-999,-999,-9,-9,
AT2016hns,150,324.921046,24.406491,0,-999,-999,-9,-9,
AT2016htm,150,38.010893,-26.665947,0,-999,-999,-9,-9,
AT2016htn,150,32.871063,-16.510228,0,-999,-999,-9,-9,
AT2017cfc,150,208.16249,-2.002217,0,-999,-999,-9,-9,
AT2017lm,150,45.384899,-15.015963,0,-999,-999,-9,-9,
