SNID,CIDint,IDSURVEY,TYPE,zHEL,zHELERR,zCMB,zCMBERR,zHD,zHDERR,VPEC,VPECERR,MWEBV,HOST_ZSPEC,HOST_ZSPECERR,HOST_RA,HOST_DEC,HOST_ANGSEP,HOST_DDLR,HOST_LOGMASS,HOST_LOGMASS_ERR,HOST_COLOR,HOST_COLOR_ERR,PKMJD,PKMJDERR,x1,x1ERR,c,cERR,mB,mBERR,mB_corr,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,NDOF,FITPROB,PROB_SCONE,PROB_SNIRFV19,PROB_SNNDESCC,PROB_SNNJ17,PROB_SNNV19,MU,MUERR_FINAL,PROBCC_BEAMS,biasCor_mu,biasCor_muCOVSCALE,biasCor_muCOVADD,Found
SN2004gc,123.0,5.0,1.0,0.03192,6e-05,0.03196,6e-05,0.03267,0.00086,-206.04,250.0,0.18,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.3,0.14,1.32,-999.0,53326.3633,0.2686,-0.707,0.0645,0.1075,0.0158,16.524,0.0404,16.1816,0.0044097,0.00016409,-0.0001,0.0,-0.0,86.0,0.7231,-9.0,-9.0,-9.0,-9.0,-9.0,35.5048,0.1501,0.0,-0.0876,1.0,0.0155,True
SN2004gs,126.0,5.0,1.0,0.0274,1e-05,0.02829,1e-05,0.02857,0.00086,-79.75,250.0,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.61,0.13,1.47,-999.0,53356.2422,0.1097,-1.8871,0.0455,0.1535,0.0125,16.894,0.0133,16.2347,0.0031361,3.8363e-05,-0.0,-0.0,-0.0,121.0,0.3839,-9.0,-9.0,-9.0,-9.0,-9.0,35.5579,0.165,0.0,-0.1041,1.0,0.0191,True
SN2004gu,46.0,5.0,1.0,0.04558,2e-05,0.0467,2e-05,0.04664,0.00087,18.53,250.0,0.02,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.22,0.22,1.48,-999.0,53363.0703,0.1505,1.3944,0.0782,0.0757,0.0112,17.1573,0.0122,17.247,0.0024609,2.7738e-05,-0.0,-0.0,-0.0,123.0,0.9962,-9.0,-9.0,-9.0,-9.0,-9.0,36.5702,0.1267,0.0,-0.0828,1.0,0.0109,True
SN2005M,77.0,64.0,1.0,0.02484,5e-05,0.02584,5e-05,0.02598,0.00086,-42.12,250.0,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,9.93,0.08,0.49,-999.0,53406.7539,0.0527,1.2017,0.0487,-0.0015,0.01,15.6523,0.0107,15.8521,0.0098418,9.718e-05,0.0,-0.0,-0.0,198.0,0.9991,-9.0,-9.0,-9.0,-9.0,-9.0,35.1753,0.1363,0.0,-0.0206,1.0,0.0103,True
SN2005eq,55.0,64.0,1.0,0.02893,1e-05,0.02831,1e-05,0.02823,0.00086,23.08,250.0,0.06,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.62,0.08,1.03,-999.0,53655.0977,0.092,1.3615,0.0601,0.0013,0.0092,16.0295,0.0158,16.3199,0.0069534,0.00010092,0.0,-0.0,-0.0,180.0,1.0,-9.0,-9.0,-9.0,-9.0,-9.0,35.6431,0.1175,0.0,-0.0568,1.0,0.0065,True
SN2005eu,89.0,64.0,1.0,0.03449,0.005,0.03369,0.005,0.03516,0.00507,-427.55,250.0,0.11,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,9.15,0.03,0.72,-999.0,53660.6484,0.1275,1.1121,0.1059,-0.1,0.0212,16.2122,0.0344,16.6861,0.0058767,0.00018607,0.0001,-0.0,-0.0,91.0,0.3504,-9.0,-9.0,-9.0,-9.0,-9.0,36.0093,0.1232,0.0,-0.002,1.0,0.0046,True
SN2005hc,76.0,64.0,1.0,0.04592,2e-05,0.04496,2e-05,0.04575,0.00087,-228.69,250.0,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.48,0.08,1.28,-999.0,53668.1484,0.1018,0.8642,0.0708,-0.037,0.0085,17.0626,0.0101,17.3853,0.0026852,2.4883e-05,0.0001,-0.0,-0.0,155.0,0.958,-9.0,-9.0,-9.0,-9.0,-9.0,36.7085,0.0902,0.0,-0.0495,1.0,0.0037,True
SN2005hj,99.0,64.0,1.0,0.05739,1e-05,0.05631,1e-05,0.05708,0.00088,-217.88,250.0,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,9.49,0.15,1.1,-999.0,53674.7891,0.2406,1.6156,0.1253,-0.0119,0.0108,17.4747,0.0135,17.7828,0.001837,2.2841e-05,0.0002,-0.0,-0.0,85.0,0.5453,-9.0,-9.0,-9.0,-9.0,-9.0,37.1061,0.1095,0.0,-0.0299,1.0,0.0076,True
SN2005iq,141.0,64.0,1.0,0.03404,0.00012,0.03292,0.00012,0.03341,0.00087,-141.55,250.0,0.02,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.49,0.08,1.13,-999.0,53688.1797,0.0771,-1.0282,0.0628,-0.0984,0.0091,16.5153,0.0097,16.6983,0.004445,3.9846e-05,0.0001,-0.0,-0.0,136.0,0.9602,-9.0,-9.0,-9.0,-9.0,-9.0,36.0215,0.0943,0.0,-0.0228,1.0,0.003,True
SN2005ir,159.0,64.0,1.0,0.07603,1e-05,0.0749,1e-05,0.0752,0.0009,-83.86,250.0,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.08,0.1,0.78,-999.0,53685.2227,0.2475,1.1155,0.1624,-0.014,0.0114,18.1602,0.0126,18.4632,0.0009771,1.1341e-05,0.0003,-0.0,-0.0,77.0,0.1178,-9.0,-9.0,-9.0,-9.0,-9.0,37.7864,0.0776,0.0,-0.0611,1.0,0.002,True
