SNID,CIDint,IDSURVEY,TYPE,zHEL,zHELERR,zCMB,zCMBERR,zHD,zHDERR,VPEC,VPECERR,MWEBV,HOST_ZSPEC,HOST_ZSPECERR,HOST_RA,HOST_DEC,HOST_ANGSEP,HOST_DDLR,HOST_LOGMASS,HOST_LOGMASS_ERR,HOST_COLOR,HOST_COLOR_ERR,PKMJD,PKMJDERR,x1,x1ERR,c,cERR,mB,mBERR,mB_corr,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,NDOF,FITPROB,PROB_SCONE,PROB_SNIRFV19,PROB_SNNDESCC,PROB_SNNJ17,PROB_SNNV19,MU,MUERR_FINAL,PROBCC_BEAMS,biasCor_mu,biasCor_muCOVSCALE,biasCor_muCOVADD,Found
SN2006ob,1.0,64.0,1.0,0.0586,4e-05,0.0576,4e-05,0.05824,0.00088,-179.42,250.0,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,11.18,0.08,1.44,-999.0,54063.543,0.1439,-2.0999,0.0979,-0.0097,0.013,17.9537,0.0151,17.7473,0.0011817,1.644e-05,0.0002,-0.0,-0.0,95.0,0.9574,-9.0,-9.0,-9.0,-9.0,-9.0,37.0706,0.0919,0.0,-0.0826,1.0,0.004,True
SN2006on,106.0,64.0,1.0,0.07191,1e-05,0.07068,1e-05,0.07089,0.00089,-60.92,250.0,0.12,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.17,0.12,1.31,-999.0,54065.1523,0.6004,-0.4463,0.5946,0.084,0.0471,18.1973,0.0616,18.0136,0.00094424,5.3546e-05,0.0182,-0.0,-0.0,19.0,0.088,-9.0,-9.0,-9.0,-9.0,-9.0,37.3368,0.1235,0.0,-0.1313,1.0,0.0039,True
SN2006py,45.0,5.0,1.0,0.05787,1e-05,0.05658,1e-05,0.05653,0.00088,14.34,250.0,0.05,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,9.8,0.14,1.33,-999.0,54071.4141,0.3533,0.1168,0.2702,0.0154,0.016,17.6204,0.0196,17.619,0.0016064,2.8973e-05,0.0019,-0.0,-0.0,28.0,0.7901,-9.0,-9.0,-9.0,-9.0,-9.0,36.9422,0.1236,0.0,-0.0467,1.0,0.0098,True
SN2006qo,151.0,64.0,1.0,0.02837,8e-05,0.02871,8e-05,0.02898,0.00086,-77.26,250.0,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.81,0.12,1.55,-999.0,54083.1094,0.1176,0.5236,0.073,0.2029,0.0143,16.6094,0.0189,16.1752,0.004076,7.0805e-05,0.0001,-0.0,-0.0,60.0,0.6474,-9.0,-9.0,-9.0,-9.0,-9.0,35.4984,0.1733,0.0,-0.0953,1.0,0.0217,True
SN2006te,131.0,64.0,1.0,0.03155,1e-05,0.03212,1e-05,0.0329,0.00086,-227.18,250.0,0.04,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.26,0.08,1.08,-999.0,54097.3438,0.3938,0.0373,0.1107,-0.0432,0.0182,16.3167,0.0299,16.5304,0.0053372,0.00014702,-0.0005,0.0,-0.0,55.0,0.7651,-9.0,-9.0,-9.0,-9.0,-9.0,35.8536,0.1031,0.0,-0.0541,1.0,0.0035,True
SN2007O,149.0,64.0,1.0,0.03694,1e-05,0.03732,1e-05,0.03818,0.00087,-245.95,250.0,0.02,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.76,0.05,0.89,-999.0,54124.7305,0.4441,-0.2963,0.1206,-0.0579,0.0188,16.4929,0.033,16.6914,0.0045379,0.00013774,-0.0003,0.0,-0.0,49.0,0.2813,-9.0,-9.0,-9.0,-9.0,-9.0,36.0146,0.097,0.0,-0.0469,1.0,0.0033,True
SN2007R,173.0,64.0,1.0,0.03081,1e-05,0.03126,1e-05,0.03174,0.00086,-140.28,250.0,0.04,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,11.01,0.14,1.33,-999.0,54129.5664,0.3632,-1.4852,0.1201,-0.0919,0.0219,16.4394,0.0391,16.5341,0.0047669,0.00017147,0.0003,0.0,-0.0,54.0,0.9563,-9.0,-9.0,-9.0,-9.0,-9.0,35.8573,0.0987,0.0,-0.0283,1.0,0.003,True
SN2007ae,9.0,64.0,1.0,0.06499,0.00036,0.06485,0.00036,0.06533,0.00096,-135.09,250.0,0.04,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,11.24,0.06,1.09,-999.0,54154.2891,0.6101,0.9664,0.218,-0.0179,0.0174,17.5415,0.0321,17.8327,0.0017275,5.1142e-05,-0.0003,0.0,-0.0,44.0,0.5341,-9.0,-9.0,-9.0,-9.0,-9.0,37.1559,0.0909,0.0,-0.0612,1.0,0.0031,True
SN2007bd,2.0,64.0,1.0,0.03044,0.0001,0.03141,0.0001,0.0312,0.00087,62.7,250.0,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.64,0.11,1.25,-999.0,54206.9336,0.0703,-1.0613,0.0598,-0.07,0.0104,16.2702,0.012,16.3777,0.0055707,6.1673e-05,0.0,-0.0,-0.0,91.0,0.4077,-9.0,-9.0,-9.0,-9.0,-9.0,35.7009,0.099,0.0,-0.0413,1.0,0.0033,True
SN2007co,128.0,64.0,1.0,0.02696,0.00011,0.02655,0.00011,0.02731,0.00086,-221.82,250.0,0.1,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.41,0.11,0.96,-999.0,54265.0898,0.1013,-0.0623,0.0925,0.07,0.0131,16.2452,0.0235,16.1108,0.0057007,0.00012315,0.0,-0.0,-0.0,99.0,0.7003,-9.0,-9.0,-9.0,-9.0,-9.0,35.434,0.1498,0.0,-0.0751,1.0,0.0129,True
SN2007cq,107.0,64.0,1.0,0.02604,8e-05,0.02481,8e-05,0.0251,0.00086,-83.97,250.0,0.09,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,9.74,0.17,0.78,-999.0,54281.1211,0.112,-0.2122,0.1832,-0.0076,0.0152,15.6256,0.025,15.6321,0.010087,0.00023261,0.001,-0.0,-0.0,45.0,0.956,-9.0,-9.0,-9.0,-9.0,-9.0,34.9553,0.1382,0.0,-0.0356,1.0,0.0096,True
SN2007hu,157.0,65.0,1.0,0.03518,1e-05,0.03518,1e-05,0.03551,0.00086,-94.25,250.0,0.04,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.99,0.03,1.66,-999.0,54355.4375,0.0609,-1.7583,0.537,0.2576,0.0493,17.5801,0.087,16.6184,0.001667,0.00013357,0.0089,-0.0,-0.0,14.0,0.2654,-9.0,-9.0,-9.0,-9.0,-9.0,35.9416,0.2081,0.0,-0.1055,1.0,0.0211,True
SN2007is,137.0,65.0,1.0,0.02953,1e-05,0.02953,1e-05,0.02866,0.00086,253.02,250.0,0.02,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.65,0.15,1.09,-999.0,54366.3867,0.5672,-0.0866,0.1903,-0.0039,0.0205,16.1561,0.0309,16.242,0.006188,0.00017639,-0.0009,0.0,-0.0,19.0,0.0818,-9.0,-9.0,-9.0,-9.0,-9.0,35.5652,0.1265,0.0,-0.0688,1.0,0.0062,True
SN2007jg,169.0,5.0,1.0,0.03707,1e-05,0.03652,1e-05,0.03756,0.00086,-297.74,250.0,0.09,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,9.52,0.12,1.41,-999.0,54366.9727,0.1589,-0.4295,0.0931,-0.0087,0.0132,16.9987,0.0216,16.9738,0.002848,5.6749e-05,0.0001,-0.0,-0.0,66.0,0.9946,-9.0,-9.0,-9.0,-9.0,-9.0,36.297,0.1253,0.0,-0.0359,1.0,0.0096,True
SN2007kk,34.0,65.0,1.0,0.04177,0.00016,0.0413,0.00016,0.04285,0.00088,-446.69,250.0,0.2,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,11.05,0.08,0.84,-999.0,54383.5547,0.3351,0.9572,0.1458,-0.0075,0.0175,16.7002,0.0419,16.9562,0.003749,0.00014458,-0.0001,0.0,-0.0,92.0,0.8266,-9.0,-9.0,-9.0,-9.0,-9.0,36.2794,0.1071,0.0,-0.0598,1.0,0.0055,True
SN2007nq,41.0,65.0,1.0,0.04389,6e-05,0.04275,6e-05,0.04349,0.00087,-212.65,250.0,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,11.16,0.1,1.56,-999.0,54398.4805,0.1723,-1.7445,0.0697,-0.0416,0.0117,17.1094,0.0162,17.0354,0.0025717,3.8414e-05,0.0001,-0.0,-0.0,137.0,1.0,-9.0,-9.0,-9.0,-9.0,-9.0,36.3586,0.0911,0.0,-0.0581,1.0,0.0034,True
SN2007ob,35.0,65.0,1.0,0.03389,1e-05,0.03263,1e-05,0.03243,0.00086,56.59,250.0,0.06,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.08,0.05,1.54,-999.0,54402.9414,0.6095,-0.3612,0.2413,0.23,0.0245,17.0804,0.0513,16.3997,0.0026415,0.00012487,0.0001,0.0,-0.0,32.0,0.6158,-9.0,-9.0,-9.0,-9.0,-9.0,35.7229,0.1907,0.0,-0.0758,1.0,0.0214,True
SN2007sw,95.0,65.0,1.0,0.02428,6e-05,0.025,6e-05,0.02517,0.00086,-50.84,250.0,0.02,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.48,0.15,1.07,-999.0,54467.9688,0.3177,0.4668,0.1277,0.0595,0.0181,15.9738,0.0259,15.9583,0.0073194,0.0001744,0.0001,0.0,-0.0,68.0,0.4504,-9.0,-9.0,-9.0,-9.0,-9.0,35.2815,0.147,0.0,-0.0761,1.0,0.0118,True
SN2007ux,58.0,65.0,1.0,0.0307,1e-05,0.03183,1e-05,0.03264,0.00086,-233.21,250.0,0.04,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.19,0.08,1.4,-999.0,54464.1758,0.2587,-2.17,0.0618,0.0904,0.0137,16.9745,0.0234,16.4535,0.002912,6.2796e-05,-0.0001,0.0,-0.0,125.0,0.0124,-9.0,-9.0,-9.0,-9.0,-9.0,35.7767,0.1461,0.0,-0.091,1.0,0.0143,True
SN2008050,2008050.0,65.0,1.0,0.04526,0.0002,0.04627,0.0002,0.04625,0.0009,6.39,250.0,0.02,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,9.62,0.08,0.9,-999.0,54621.0469,0.4146,1.4807,0.3004,0.0389,0.025,16.9151,0.0345,17.0401,0.0030759,9.7597e-05,0.0033,-0.0,-0.0,42.0,0.7001,-9.0,-9.0,-9.0,-9.0,-9.0,36.3633,0.1452,0.0,-0.027,1.0,0.014,True
SN2008051,2008051.0,65.0,1.0,0.03777,6e-05,0.03835,6e-05,0.03873,0.00087,-109.18,250.0,0.04,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,9.1,0.08,0.86,-999.0,54617.1406,0.3502,0.7593,0.1555,-0.1065,0.0172,16.3947,0.0262,16.8304,0.0049671,0.00011965,0.0004,-0.0,-0.0,54.0,0.9876,-9.0,-9.0,-9.0,-9.0,-9.0,36.1536,0.1039,0.0,-0.0002,1.0,0.0045,True
SN2008ar,103.0,65.0,1.0,0.02617,1e-05,0.02732,1e-05,0.02849,0.00086,-342.8,250.0,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.31,0.2,1.12,-999.0,54535.1289,0.0718,0.0202,0.0521,-0.0383,0.0092,15.9459,0.0118,16.1438,0.0075097,8.1739e-05,0.0,-0.0,-0.0,131.0,0.9759,-9.0,-9.0,-9.0,-9.0,-9.0,35.4671,0.1046,0.0,-0.0566,1.0,0.0039,True
SN2008bz,143.0,65.0,1.0,0.06015,1e-05,0.0613,1e-05,0.06099,0.00089,88.72,250.0,0.02,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.47,0.1,1.16,-999.0,54579.5312,0.2469,-0.4168,0.1092,-0.13,0.0111,17.6531,0.0155,18.0164,0.0015587,2.2212e-05,-0.0,0.0,-0.0,81.0,0.3686,-9.0,-9.0,-9.0,-9.0,-9.0,37.3396,0.0782,0.0,-0.0065,1.0,0.0021,True
SN2008cf,3.0,65.0,1.0,0.04603,9e-05,0.04692,9e-05,0.04682,0.00088,29.57,250.0,0.06,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,9.15,0.04,0.21,-999.0,54595.2734,0.3042,1.218,0.1192,-0.1121,0.0111,16.7458,0.0169,17.2724,0.0035949,5.5949e-05,-0.0002,0.0,-0.0,72.0,0.9974,-9.0,-9.0,-9.0,-9.0,-9.0,36.5956,0.0952,0.0,0.0002,1.0,0.004,True
SN2008fr,19.0,65.0,1.0,0.039,0.002,0.0379,0.002,0.03828,0.00218,-110.97,250.0,0.04,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,8.69,0.21,1.15,-999.0,54733.8242,0.2302,0.5961,0.0744,-0.0916,0.0102,16.5542,0.0174,16.9264,0.0042886,6.888e-05,0.0001,-0.0,-0.0,136.0,0.9948,-9.0,-9.0,-9.0,-9.0,-9.0,36.2496,0.1012,0.0,-0.0093,1.0,0.0047,True
SN2008gb,53.0,65.0,1.0,0.037,9e-05,0.03641,9e-05,0.03796,0.00087,-447.19,250.0,0.17,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.39,0.04,0.9,-999.0,54747.0469,0.4957,0.0817,0.2262,-0.0048,0.0202,16.8026,0.0415,16.9183,0.0034115,0.00013048,0.0,0.0,-0.0,44.0,0.9999,-9.0,-9.0,-9.0,-9.0,-9.0,36.2415,0.1162,0.0,-0.0687,1.0,0.006,True
SN2008gl,42.0,65.0,1.0,0.03354,0.00016,0.03246,0.00016,0.03272,0.00088,-75.15,250.0,0.02,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.8,0.03,1.65,-999.0,54768.6094,0.0955,-1.2917,0.0524,-0.0246,0.0098,16.5202,0.0108,16.4704,0.0044253,4.4188e-05,0.0,-0.0,-0.0,124.0,1.0,-9.0,-9.0,-9.0,-9.0,-9.0,35.7936,0.1046,0.0,-0.0627,1.0,0.0047,True
SN2008gp,105.0,5.0,1.0,0.03303,0.0002,0.03245,0.0002,0.03333,0.00088,-257.67,250.0,0.1,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.64,0.05,1.19,-999.0,54779.793,0.0737,-0.0753,0.0521,-0.091,0.0125,16.1411,0.0231,16.4582,0.0062742,0.00013364,0.0,-0.0,-0.0,95.0,0.9993,-9.0,-9.0,-9.0,-9.0,-9.0,35.7814,0.0964,0.0,-0.0266,1.0,0.003,True
SN2008hj,59.0,65.0,1.0,0.03761,0.00015,0.03643,0.00015,0.03682,0.00088,-111.99,250.0,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.2,0.06,0.92,-999.0,54802.3594,0.0812,0.3049,0.0698,-0.0586,0.0098,16.4977,0.0111,16.7934,0.0045179,4.6186e-05,0.0001,-0.0,-0.0,91.0,1.0,-9.0,-9.0,-9.0,-9.0,-9.0,36.1166,0.0936,0.0,-0.0454,1.0,0.0033,True
SN2009ad,104.0,65.0,1.0,0.0284,0.0,0.02834,0.0,0.02844,0.00086,-30.49,250.0,0.1,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.45,0.09,1.28,-999.0,54886.9531,0.0666,0.2486,0.0544,-0.0468,0.0103,15.8967,0.0213,16.1529,0.0078583,0.00015435,0.0001,-0.0,-0.0,126.0,0.9993,-9.0,-9.0,-9.0,-9.0,-9.0,35.4761,0.1031,0.0,-0.0514,1.0,0.0035,True
SN2009bv,15.0,65.0,1.0,0.03667,6e-05,0.03748,6e-05,0.03848,0.00087,-287.73,250.0,0.01,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.37,0.1,0.87,-999.0,54927.4648,0.1256,0.5122,0.127,-0.0733,0.0155,16.6309,0.0181,16.9935,0.0039962,6.6474e-05,0.0007,-0.0,-0.0,51.0,0.4881,-9.0,-9.0,-9.0,-9.0,-9.0,36.3167,0.0962,0.0,-0.0328,1.0,0.0031,True
SN2009do,97.0,65.0,1.0,0.03964,1e-05,0.04027,1e-05,0.04099,0.00087,-206.58,250.0,0.01,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.73,0.2,1.43,-999.0,54946.2734,0.2812,-0.8132,0.1064,-0.0135,0.0157,16.8737,0.021,16.8721,0.0031954,6.1784e-05,0.0002,0.0,-0.0,56.0,0.2317,-9.0,-9.0,-9.0,-9.0,-9.0,36.1953,0.1052,0.0,-0.0683,1.0,0.0052,True
SN2010ag,139.0,66.0,1.0,0.0334,2e-05,0.03336,2e-05,0.03335,0.00086,3.24,250.0,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.57,0.13,1.25,-999.0,55271.2578,0.279,0.8067,0.1441,0.1199,0.0171,16.4647,0.0234,16.3284,0.0046571,0.00010044,0.0007,-0.0,-0.0,39.0,0.4253,-9.0,-9.0,-9.0,-9.0,-9.0,35.6516,0.1542,0.0,-0.0891,1.0,0.0163,True
SN2010dt,180.0,66.0,1.0,0.05286,2e-05,0.05291,2e-05,0.05316,0.00088,-69.12,250.0,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.69,0.22,1.12,-999.0,55361.6719,0.2076,0.0533,0.5694,-0.0839,0.0488,17.3605,0.0753,17.681,0.0020408,0.00014151,0.024,-0.0001,-0.0,7.0,0.1996,-9.0,-9.0,-9.0,-9.0,-9.0,37.0042,0.1047,0.0,-0.0315,1.0,0.0025,True
SN2010dw,158.0,66.0,1.0,0.03812,0.00015,0.03871,0.00015,0.03902,0.00088,-89.87,250.0,0.08,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.19,0.1,1.38,-999.0,55357.9453,0.4098,0.7317,0.1827,0.0864,0.0166,16.8913,0.0245,16.8424,0.0031439,7.0967e-05,-0.0,0.0,-0.0,26.0,0.4476,-9.0,-9.0,-9.0,-9.0,-9.0,36.1656,0.1433,0.0,-0.0839,1.0,0.0133,True
SN2016afk,0.0,150.0,1.0,0.04561,1e-05,0.04677,1e-05,0.04738,0.00087,-172.36,250.0,0.05,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,9.7,0.08,0.6,-999.0,57440.6797,0.357,0.0035,0.2061,0.0733,0.0238,17.514,0.0321,17.3136,0.0017718,5.2344e-05,0.0015,-0.0,-0.0,20.0,0.0743,-9.0,-9.0,-9.0,-9.0,-9.0,36.6368,0.1472,0.0,-0.0463,1.0,0.0148,True
SNASASSN-15bc,35.0,150.0,1.0,0.03672,0.0001,0.03639,0.0001,0.03753,0.00087,-330.4,250.0,0.04,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.16,0.04,0.73,-999.0,57048.0898,0.1934,0.6951,0.195,0.0636,0.0186,16.8552,0.0236,16.8659,0.0032503,7.0512e-05,0.0015,-0.0,-0.0,21.0,0.717,-9.0,-9.0,-9.0,-9.0,-9.0,36.1891,0.1239,0.0,-0.0784,1.0,0.0085,True
SNASASSN-15fa,53.0,150.0,1.0,0.02734,1e-05,0.02721,1e-05,0.02741,0.00086,-57.83,250.0,0.02,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.91,0.13,1.2,-999.0,57102.2266,0.3771,0.7406,0.1717,0.0835,0.0189,16.3086,0.0255,16.2655,0.0053772,0.00012642,0.0003,-0.0,-0.0,15.0,0.59,-9.0,-9.0,-9.0,-9.0,-9.0,35.5887,0.1401,0.0,-0.0794,1.0,0.0101,True
SNASASSN-15hg,107.0,150.0,1.0,0.02992,1e-05,0.03107,1e-05,0.03143,0.00086,-105.01,250.0,0.04,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.39,0.08,1.48,-999.0,57131.7148,0.0211,-1.1986,0.1565,0.0239,0.0218,16.6273,0.0305,16.4534,0.0040094,0.0001127,-0.0001,-0.0,-0.0,16.0,0.5451,-9.0,-9.0,-9.0,-9.0,-9.0,35.7766,0.1215,0.0,-0.0748,1.0,0.0051,True
SNASASSN-15jl,141.0,150.0,1.0,0.03468,1e-05,0.03492,1e-05,0.03512,0.00086,-56.23,250.0,0.01,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,9.08,0.14,0.73,-999.0,57166.4336,0.2838,0.4298,0.154,-0.049,0.018,16.4393,0.0213,16.6716,0.0047675,9.3613e-05,0.0006,-0.0,-0.0,25.0,0.1947,-9.0,-9.0,-9.0,-9.0,-9.0,35.9948,0.098,0.0,-0.029,1.0,0.0025,True
SNASASSN-15lu,54.0,150.0,1.0,0.03505,1e-05,0.03577,1e-05,0.03635,0.00086,-168.23,250.0,0.01,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,9.98,0.11,0.9,-999.0,57199.3828,0.3772,-0.4094,0.2249,-0.0222,0.0211,16.772,0.0263,16.797,0.0035092,8.4944e-05,0.0006,0.0,-0.0,16.0,0.0076,-9.0,-9.0,-9.0,-9.0,-9.0,36.1202,0.1114,0.0,-0.0403,1.0,0.0044,True
SNASASSN-15mf,72.0,150.0,1.0,0.02604,1e-05,0.02691,1e-05,0.02695,0.00086,-14.01,250.0,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,11.0,0.41,1.59,-999.0,57212.1094,0.3996,-0.7022,0.2394,-0.0236,0.0221,15.9695,0.027,16.0053,0.0073484,0.00018281,0.0011,-0.0,-0.0,11.0,0.1983,-9.0,-9.0,-9.0,-9.0,-9.0,35.3285,0.1106,0.0,-0.0565,1.0,0.002,True
SNASASSN-15mg,90.0,150.0,1.0,0.04278,1e-05,0.04307,1e-05,0.04408,0.00087,-289.8,250.0,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.14,0.16,1.12,-999.0,57218.1562,0.1899,-1.2812,0.1558,-0.0355,0.0238,17.2313,0.0286,17.2127,0.0022987,6.0582e-05,0.0002,-0.0,-0.0,18.0,0.3945,-9.0,-9.0,-9.0,-9.0,-9.0,36.5359,0.0938,0.0,-0.0581,1.0,0.001,True
SNASASSN-15np,125.0,150.0,1.0,0.03768,5e-05,0.03832,5e-05,0.03884,0.00087,-150.2,250.0,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.17,0.31,1.48,-999.0,57241.5938,0.6305,-0.808,0.2112,0.064,0.0222,17.0709,0.0303,16.8459,0.0026646,7.4377e-05,-0.0003,0.0,-0.0,11.0,0.623,-9.0,-9.0,-9.0,-9.0,-9.0,36.1692,0.1293,0.0,-0.0859,1.0,0.0085,True
SNASASSN-15nq,142.0,150.0,1.0,0.03036,1e-05,0.03025,1e-05,0.03023,0.00086,4.04,250.0,0.04,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.4,0.16,1.67,-999.0,57247.7578,0.2002,0.0004,0.198,-0.0678,0.0223,16.1247,0.0292,16.3934,0.0063695,0.00017144,0.0016,-0.0,-0.0,14.0,0.1944,-9.0,-9.0,-9.0,-9.0,-9.0,35.7166,0.0972,0.0,-0.0386,1.0,0.0008,True
SNASASSN-15pm,37.0,150.0,1.0,0.04879,0.00015,0.04777,0.00015,0.04837,0.00089,-170.03,250.0,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.67,0.24,1.12,-999.0,57277.9219,0.3431,0.5897,0.1761,-0.0902,0.0204,16.9656,0.0271,17.3854,0.002936,7.329e-05,0.0004,-0.0,-0.0,25.0,0.4469,-9.0,-9.0,-9.0,-9.0,-9.0,36.7086,0.0825,0.0,-0.0251,0.903,0.0,True
SNASASSN-15pn,55.0,150.0,1.0,0.03836,0.0,0.038,0.0,0.03909,0.00087,-314.4,250.0,0.08,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,9.37,0.08,0.77,-999.0,57279.7891,0.2047,0.4969,0.1357,-0.0447,0.0206,16.8731,0.0304,17.1037,0.0031971,8.9427e-05,-0.0006,-0.0,-0.0,30.0,0.0845,-9.0,-9.0,-9.0,-9.0,-9.0,36.4269,0.1023,0.0,-0.0302,1.0,0.0026,True
SNASASSN-15pr,73.0,150.0,1.0,0.03309,0.00015,0.03189,0.00015,0.03264,0.00087,-217.89,250.0,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,9.72,0.15,0.81,-999.0,57283.4883,0.0392,-0.5048,0.2283,-0.0296,0.0277,16.6954,0.0482,16.7237,0.0037657,0.00016702,0.0003,-0.0,-0.0,14.0,0.189,-9.0,-9.0,-9.0,-9.0,-9.0,36.0469,0.1284,0.0,-0.0361,1.0,0.0037,True
SNASASSN-15ss,126.0,150.0,1.0,0.03556,0.00012,0.03592,0.00012,0.03599,0.00087,-19.52,250.0,0.2,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.77,0.04,1.05,-999.0,57338.3594,0.6057,0.9709,0.2249,-0.0917,0.0283,16.3568,0.0578,16.8377,0.0051437,0.00027391,0.0003,0.0,-0.0,14.0,0.8361,-9.0,-9.0,-9.0,-9.0,-9.0,36.1609,0.095,0.0,-0.0202,0.986,0.0,True
SNASASSN-15tg,143.0,150.0,1.0,0.03561,6e-05,0.03445,6e-05,0.03529,0.00086,-241.33,250.0,0.02,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.07,0.14,1.31,-999.0,57362.0586,0.4277,1.2668,0.2177,-0.0605,0.0214,16.2297,0.0257,16.6752,0.0057826,0.00013697,0.0009,-0.0,-0.0,13.0,0.1593,-9.0,-9.0,-9.0,-9.0,-9.0,35.9985,0.0947,0.0,-0.0344,1.0,0.0008,True
SNASASSN-16aj,92.0,150.0,1.0,0.03075,8e-05,0.03053,8e-05,0.02953,0.00086,289.93,250.0,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.65,0.08,1.55,-999.0,57402.1406,0.372,-1.816,0.1789,0.0072,0.0241,16.4345,0.033,16.2107,0.0047887,0.00014554,-0.0,0.0,-0.0,25.0,0.9042,-9.0,-9.0,-9.0,-9.0,-9.0,35.5339,0.1156,0.0,-0.0721,1.0,0.0039,True
SNASASSN-16ay,127.0,150.0,1.0,0.02834,1e-05,0.02895,1e-05,0.02938,0.00086,-124.58,250.0,0.06,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.48,0.04,1.21,-999.0,57416.7578,0.4532,1.0355,0.1495,0.227,0.0199,16.7753,0.0306,16.3265,0.0034984,9.862e-05,-0.0002,0.0,-0.0,14.0,0.767,-9.0,-9.0,-9.0,-9.0,-9.0,35.6497,0.1632,0.0,-0.0735,1.0,0.0172,True
SNASASSN-16bc,144.0,150.0,1.0,0.03194,0.00015,0.03314,0.00015,0.03298,0.00087,45.27,250.0,0.05,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.49,0.12,1.18,-999.0,57430.1562,0.1668,1.0149,0.1779,-0.135,0.0208,15.921,0.0277,16.5164,0.0076842,0.00019591,0.0008,-0.0,-0.0,18.0,0.0618,-9.0,-9.0,-9.0,-9.0,-9.0,35.8396,0.0917,0.0,0.0074,0.943,0.0,True
SNASASSN-16bq,162.0,150.0,1.0,0.02493,1e-05,0.02582,1e-05,0.02534,0.00086,141.16,250.0,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.62,0.03,1.59,-999.0,57437.9453,0.1951,-1.6681,0.1158,-0.0429,0.0239,16.062,0.0308,15.9962,0.0067482,0.00019159,0.0,-0.0,-0.0,30.0,0.8656,-9.0,-9.0,-9.0,-9.0,-9.0,35.3194,0.109,0.0,-0.0501,1.0,0.0011,True
