CID,CIDint,IDSURVEY,TYPE,zHEL,zHELERR,zCMB,zCMBERR,zHD,zHDERR,VPEC,VPECERR,MWEBV,HOST_ZSPEC,HOST_ZSPECERR,HOST_RA,HOST_DEC,HOST_ANGSEP,HOST_DDLR,HOST_LOGMASS,HOST_LOGMASS_ERR,HOST_COLOR,HOST_COLOR_ERR,PKMJD,PKMJDERR,x1,x1ERR,c,cERR,mB,mBERR,mB_corr,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,NDOF,FITPROB,PROB_SCONE,PROB_SNIRFV19,PROB_SNNDESCC,PROB_SNNJ17,PROB_SNNV19,MU,MUERR_FINAL,PROBCC_BEAMS,biasCor_mu,biasCor_muCOVSCALE,biasCor_muCOVADD,TARGETID,RA,DEC,DESI_TARGET,SPECTYPE,Z,ZWARN
1246650,1246650,10,0,0.91042,0.001,0.90888,0.001,0.90888,0.00216,0.0,300.0,0.02,0.9104,0.001,35.909572999999995,-5.107671,3.222,2.18,11.21,0.01,1.38,-999.0,56548.4219,1.2615,-0.4507,0.8614,-0.0251,0.129,24.4779,0.0652,24.6581,2.903e-06,1.7438e-07,0.0361,-0.0,-0.0,23,0.883,0.9793,0.935,0.9999,0.9984,0.9996,43.9813,0.1744,0.0,-0.1558,0.181,0.0,39627664624977874,35.90959260347064,-5.107772019569854,65537,GALAXY,0.9095091934425469,0
1252620,1252620,10,0,0.95453,0.001,0.95299,0.001,0.95299,0.0022,0.0,300.0,0.02,0.9545,0.001,37.267628,-4.127444000000001,0.204,0.22,11.41,0.05,1.64,-999.0,56557.4023,0.9363,-1.6298,0.7563,0.0641,0.1623,24.3269,0.0773,24.39,3.3362e-06,2.3739e-07,0.0191,-0.0,0.0,25,0.3442,0.8792,0.9665,0.9999,0.9991,0.9901,43.7132,0.1931,0.0004,-0.5064,0.13,0.0,39627682715016041,37.26765957121098,-4.127525383507982,65537,GALAXY,0.9547582550247564,0
1255824,1255824,10,0,0.82,0.001,0.81852,0.001,0.81852,0.00208,0.0,300.0,0.03,0.82,0.001,35.778015,-4.511212,0.299,0.23,11.29,0.02,1.44,-999.0,56590.8555,0.8378,-1.239,0.6258,-0.0444,0.0702,24.1032,0.0708,24.1519,4.0994e-06,2.673e-07,0.0035,-0.0,0.0,37,0.6507,0.9824,0.993,1.0,0.9995,0.9999,43.4751,0.2245,0.0,-0.0908,0.647,0.0,39627676666829566,35.778041188899294,-4.511298869284287,65537,GALAXY,0.8189477043562187,0
1258940,1258940,10,1,0.42694,0.001,0.42593,0.001,0.42593,0.00174,0.0,300.0,0.05,0.4269,0.001,42.715176,-0.524297,3.199,2.22,10.85,0.03,1.04,-999.0,56619.6602,0.462,-0.0221,0.4237,-0.1051,0.0452,22.2264,0.0553,22.5042,2.309e-05,1.1762e-06,0.0041,-0.0,-0.0,37,0.4487,0.9998,0.9508,1.0,0.9999,1.0,41.8274,0.1285,0.0,0.0651,0.851,0.0,39627773362313430,42.715223114830195,-0.5243992470553145,1152921504606912513,GALAXY,0.42704302618785506,0
1260113,1260113,10,0,0.35583,0.001,0.35469,0.001,0.35469,0.00168,0.0,300.0,0.02,0.3558,0.001,33.601913,-5.246937,0.324,0.17,11.04,0.01,1.26,-999.0,56632.1992,0.7877,-1.4062,0.5435,0.2556,0.0522,22.72,0.0675,21.9722,1.4656e-05,9.1115e-07,0.0103,-0.0,-0.0,31,0.1855,0.9909,0.4488,0.9181,0.0411,0.5,41.2955,0.2203,0.0152,-0.2566,1.0,0.0264,39627658564206941,33.60197014449305,-5.246984077238949,1152921504606912513,GALAXY,0.35616103650764586,0
1293366,1293366,10,0,0.32145,0.001,0.3204,0.001,0.3204,0.00166,0.0,300.0,0.03,0.3214,0.001,36.235241,-6.03647,0.301,0.19,11.19,0.12,1.69,-999.0,56904.4766,0.3447,0.8235,0.3746,0.0197,0.0344,21.8364,0.0547,21.9482,3.3071e-05,1.6655e-06,0.0067,-0.0,-0.0,43,0.8545,0.9964,0.8904,1.0,0.9999,1.0,41.2714,0.1504,0.0,-0.022,1.0,0.0121,39627640562256428,36.23529858608599,-6.036521673667742,1152921504606912513,GALAXY,0.3211505590709698,0
1298763,1298763,10,0,0.61093,0.001,0.6096,0.001,0.6096,0.0019,0.0,300.0,0.02,0.6109,0.001,35.083786,-4.16837,1.175,1.16,10.68,0.02,0.86,-999.0,56921.2109,1.8002,-1.0471,0.8572,-0.1726,0.0947,23.4601,0.0796,23.7234,7.4123e-06,5.4347e-07,0.0043,-0.0,-0.0,39,0.3242,0.9889,0.8051,0.9238,0.9944,0.7558,43.0466,0.2094,0.0135,0.1251,0.391,0.0,39627682681455819,35.08388501635851,-4.168415903629915,65537,GALAXY,0.6106872214829161,0
1299258,1299258,10,0,0.80255,0.001,0.80109,0.001,0.80109,0.00206,0.0,300.0,0.03,0.8026,0.001,36.103355,-4.007521,0.808,0.71,11.32,0.1,1.53,-999.0,56932.6445,0.8296,0.923,0.5415,-0.1266,0.0375,23.7084,0.037,24.0439,5.8969e-06,2.0116e-07,0.0003,-0.0,0.0,41,0.8885,0.9894,0.9777,0.9997,0.9962,1.0,43.3671,0.1623,0.0,0.2265,0.808,0.0,39627688729643021,36.10338215243095,-4.0076281010666825,65537,GALAXY,0.8022111895211091,0
1303952,1303952,10,1,0.56387,0.00013,0.56262,0.00013,0.56262,0.00157,0.0,300.0,0.02,0.5639,0.0001,35.872189,-6.922432000000001,2.353,1.7,11.29,0.04,1.21,-999.0,57289.082,0.6049,0.8428,0.6782,-0.1525,0.066,22.9137,0.0806,23.2719,1.2261e-05,9.1002e-07,0.0123,-0.0,-0.0,47,0.7062,0.9994,0.6362,0.9999,0.9986,1.0,42.5951,0.1521,0.0,0.2716,0.464,0.0,39627616537284425,35.87220380793423,-6.922474666506797,1152921504606912513,GALAXY,0.5640137025255438,0
1305504,1305504,10,1,0.49679,0.001,0.49559,0.001,0.49559,0.0018,0.0,300.0,0.02,0.4968,0.001,36.057907,-5.165079,2.629,2.16,11.28,0.01,1.51,-999.0,56973.7422,0.4158,-0.2805,0.2389,-0.073,0.0407,22.7519,0.031,22.956,1.4232e-05,4.0693e-07,0.0017,-0.0,-0.0,21,0.995,1.0,0.9407,1.0,0.9999,1.0,42.2792,0.1417,0.0,-0.0029,1.0,0.0041,39627658601961979,36.05794722334185,-5.165149310460481,65537,GALAXY,0.49685250509944034,0
