CID,CIDint,IDSURVEY,TYPE,zHEL,zHELERR,zCMB,zCMBERR,zHD,zHDERR,VPEC,VPECERR,MWEBV,HOST_ZSPEC,HOST_ZSPECERR,HOST_RA,HOST_DEC,HOST_ANGSEP,HOST_DDLR,HOST_LOGMASS,HOST_LOGMASS_ERR,HOST_COLOR,HOST_COLOR_ERR,PKMJD,PKMJDERR,x1,x1ERR,c,cERR,mB,mBERR,mB_corr,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,NDOF,FITPROB,PROB_SCONE,PROB_SNIRFV19,PROB_SNNDESCC,PROB_SNNJ17,PROB_SNNV19,MU,MUERR_FINAL,PROBCC_BEAMS,biasCor_mu,biasCor_muCOVSCALE,biasCor_muCOVADD,TARGETID,RA,DEC,DESI_TARGET,SPECTYPE,Z,ZWARN
1265040,1265040,10,0,0.431,0.001,0.42981,0.001,0.42981,0.00175,0.0,300.0,0.02,0.431,0.001,33.967983000000004,-5.738808000000001,0.391,0.34,11.06,0.03,1.36,-999.0,56660.7148,0.7166,1.3097,0.6982,0.193,0.06,22.3685,0.0696,22.134,2.0259e-05,1.2981e-06,0.01,-0.0,-0.0,21,0.9729,0.9249,0.5361,0.9857,0.9678,0.9884,41.4572,0.2086,0.0014,-0.1378,1.0,0.0081,39627646539139606,33.968030653499405,-5.738878755418979,1152921504606846976,GALAXY,0.43087571107247713,0
1265165,1265165,10,0,0.31845,0.001,0.31752,0.001,0.31752,0.00165,0.0,300.0,0.06,0.3185,0.001,42.984779,0.088168,0.0,0.0,10.86,0.01,1.47,-999.0,56679.6406,0.4822,-1.6335,0.4408,-0.1104,0.0364,21.8746,0.0447,21.9666,3.1927e-05,1.314e-06,0.0115,-0.0,-0.0,19,0.5412,0.0088,0.5948,0.9187,0.9723,0.9997,41.2899,0.1269,0.0,0.008,1.0,0.0064,39627785446103548,42.98488921436814,0.0879265003722574,1152921504606846976,GALAXY,0.3184805735448882,0
1266808,1266808,10,0,0.3304,0.001,0.3293,0.001,0.3293,0.00166,0.0,300.0,0.02,0.3304,0.001,34.983429,-4.672231,0.904,0.78,10.7,0.01,0.85,-999.0,56679.1211,1.1257,-1.5723,0.9905,-0.1354,0.0603,22.6694,0.0705,22.8042,1.5354e-05,9.9681e-07,0.0208,-0.0,-0.0,18,0.054,0.0001,0.0217,0.0032,0.003,0.0001,42.1274,177.0168,1.0,0.0533,1.0,0.0053,39627670631224214,34.9834683343005,-4.672307177742214,1152921504606846976,GALAXY,0.3302350380943705,0
1277173,1277173,10,0,0.15035,0.001,0.1494,0.001,0.1494,0.00152,0.0,300.0,0.02,0.1504,0.001,34.878971,-4.508702,0.251,0.09,10.99,0.04,1.5,-999.0,57246.7109,0.5888,-1.4495,0.2565,-0.0774,0.0225,19.9205,0.0357,19.9661,0.00019311,6.3583e-06,0.0001,0.0,-0.0,22,0.2397,0.2953,0.6749,0.9836,0.9206,0.6305,39.2893,0.0975,0.0025,-0.0187,1.0,0.0027,39627676654241142,34.87902306423721,-4.508777117754369,1152921504606846976,GALAXY,0.15057311933872772,0
1278747,1278747,10,0,0.32426,0.001,0.32321,0.001,0.32321,0.00166,0.0,300.0,0.03,0.3243,0.001,36.290287,-6.926628999999999,0.366,0.21,10.88,0.01,1.0,-999.0,57259.5352,0.457,-2.5948,0.5024,0.2303,0.0482,22.499,0.0656,21.5886,1.7963e-05,1.0848e-06,0.01,-0.0,-0.0,47,0.1689,0.0962,0.4962,0.8009,0.9935,0.1715,40.9118,0.2292,0.0899,-0.2061,1.0,0.0309,39627616545670710,36.29030438376232,-6.926697549899151,1152921504606846976,GALAXY,0.3247214626053455,0
1283878,1283878,10,1,0.3139,0.001,0.31286,0.001,0.31286,0.00165,0.0,300.0,0.02,0.3139,0.001,37.133186,-4.041304,0.082,0.07,11.25,0.01,1.47,-999.0,57265.6641,0.2188,-0.603,0.2861,-0.0104,0.0267,21.804,0.041,21.806,3.4073e-05,1.2858e-06,0.0037,-0.0,-0.0,42,0.4149,0.9916,0.9835,0.9999,0.9987,1.0,41.1292,0.1184,0.0,-0.0478,1.0,0.0073,39627688746421186,37.133224443307626,-4.041375819237698,1152921504606846976,GALAXY,0.3146412600291904,0
1291149,1291149,10,0,0.23156,0.001,0.23057,0.001,0.23057,0.00159,0.0,300.0,0.02,0.2316,0.001,35.334315999999994,-7.257592999999999,0.362,0.38,10.14,0.01,0.8,-999.0,56958.7188,0.9387,-0.4975,0.73,-0.0867,0.0632,22.8047,0.0672,23.0145,1.3556e-05,8.3963e-07,0.006,-0.0,-0.0,35,0.0181,0.0006,0.1407,0.0067,0.3254,0.0378,42.3377,239.4149,1.0,-0.0009,1.0,0.0048,39627610531040288,35.33433590311234,-7.257658120803892,1152921504606846976,GALAXY,0.23139407831328215,0
1291346,1291346,10,0,0.29876,0.001,0.2977,0.001,0.2977,0.00164,0.0,300.0,0.02,0.2988,0.001,35.233311,-5.433486,2.663,2.21,9.98,0.01,0.52,-999.0,56896.6562,0.3011,0.3834,0.2363,-0.0037,0.019,21.3255,0.0266,21.3813,5.2941e-05,1.2959e-06,0.0013,-0.0,-0.0,38,0.0942,0.9943,0.985,0.9995,0.9999,1.0,40.7045,0.1403,0.0,-0.0014,1.0,0.0141,39627652574743473,35.233339845119005,-5.433522326135025,1152921504606846976,GALAXY,0.2986107522928342,0
1293366,1293366,10,0,0.32145,0.001,0.3204,0.001,0.3204,0.00166,0.0,300.0,0.03,0.3214,0.001,36.235241,-6.03647,0.301,0.19,11.19,0.12,1.69,-999.0,56904.4766,0.3447,0.8235,0.3746,0.0197,0.0344,21.8364,0.0547,21.9482,3.3071e-05,1.6655e-06,0.0067,-0.0,-0.0,43,0.8545,0.9964,0.8904,1.0,0.9999,1.0,41.2714,0.1504,0.0,-0.022,1.0,0.0121,39627640562256428,36.23529858608599,-6.036521673667742,1152921504606912513,GALAXY,0.32124749563469257,0
1295024,1295024,10,0,0.33494,0.001,0.33386,0.001,0.33386,0.00167,0.0,300.0,0.02,0.3349,0.001,35.051784999999995,-7.049985,0.452,0.45,10.34,0.01,0.97,-999.0,56911.3633,0.5096,-0.5129,0.4519,0.0547,0.0431,22.3061,0.063,22.1625,2.1457e-05,1.246e-06,0.0097,-0.0,-0.0,40,0.7662,0.9052,0.7878,0.9999,0.9993,0.9998,41.4857,0.1684,0.0,-0.0907,1.0,0.0155,39627616524699483,35.05181798224238,-7.0500781162215445,1152921504606846976,GALAXY,0.33508588484124846,0
