CID,CIDint,IDSURVEY,TYPE,zHEL,zHELERR,zCMB,zCMBERR,zHD,zHDERR,VPEC,VPECERR,MWEBV,HOST_ZSPEC,HOST_ZSPECERR,HOST_RA,HOST_DEC,HOST_ANGSEP,HOST_DDLR,HOST_LOGMASS,HOST_LOGMASS_ERR,HOST_COLOR,HOST_COLOR_ERR,PKMJD,PKMJDERR,x1,x1ERR,c,cERR,mB,mBERR,mB_corr,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,NDOF,FITPROB,PROB_SCONE,PROB_SNIRFV19,PROB_SNNDESCC,PROB_SNNJ17,PROB_SNNV19,MU,MUERR_FINAL,PROBCC_BEAMS,biasCor_mu,biasCor_muCOVSCALE,biasCor_muCOVADD,TARGETID,RA,DEC,DESI_TARGET,SPECTYPE,Z,ZWARN
1315197,1315197,10,0,0.2091,0.001,0.20823,0.001,0.20823,0.00157,0.0,300.0,0.04,0.2091,0.001,42.266914,0.116694,0.275,0.23,10.15,0.07,1.31,-999.0,57006.8555,0.2478,-1.3199,0.1842,-0.0073,0.0206,20.7757,0.0274,20.6644,8.7841e-05,2.2128e-06,0.0009,-0.0,-0.0,37,0.9946,0.9999,0.98,1.0,1.0,1.0,39.9876,0.1093,0.0,-0.0595,1.0,0.0067,39627785437708930,42.2669426912647,0.11663074059778225,1152921504606846976,GALAXY,0.20863201221280808,0
1315259,1315259,10,1,0.22896,2e-05,0.22806,2e-05,0.22806,0.00123,0.0,300.0,0.03,0.0,0.0,40.863548,-1.602379,4.937,2.6,11.38,0.01,1.25,-999.0,57004.7656,0.2422,-0.298,0.1695,0.0786,0.0177,21.1247,0.0241,20.9129,6.3697e-05,1.4145e-06,0.0008,-0.0,-0.0,39,0.2117,0.9923,0.9867,1.0,1.0,1.0,40.2361,0.1516,0.0,-0.0626,1.0,0.0185,39627749173759973,40.863598478431314,-1.6024252584787142,1152921504606846976,GALAXY,0.22876768291018568,0
1316831,1316831,10,0,0.43966,0.001,0.43848,0.001,0.43848,0.00175,0.0,300.0,0.02,0.4397,0.001,35.065357,-4.223817,1.725,0.99,10.74,0.01,0.82,-999.0,57013.4062,0.5417,-0.0283,0.5469,-0.0047,0.0502,22.529,0.0541,22.6292,1.7475e-05,8.7048e-07,0.0061,-0.0,-0.0,25,0.9663,0.9983,0.9933,1.0,0.9999,1.0,41.9524,0.1438,0.0,-0.0712,0.873,0.0,39627682681455229,35.06538298355523,-4.223814615082997,1152921504606846976,GALAXY,0.43940403143493895,0
1317666,1317666,10,1,0.14227,0.001,0.14136,0.001,0.14136,0.00152,0.0,300.0,0.02,0.1423,0.001,36.771015000000006,-5.002413,2.447,1.5,10.06,0.01,1.08,-999.0,57301.5977,0.1818,-0.1647,0.0982,0.0619,0.0167,20.1697,0.0207,20.0282,0.00015351,2.9257e-06,-0.0,-0.0,-0.0,27,0.9993,0.9998,0.9505,0.9996,0.9996,1.0,39.3514,0.17,0.0,-0.0592,1.0,0.0251,39627664637565263,36.77104027856717,-5.002457000722314,1152921504606846976,GALAXY,0.14224043586453727,0
1320704,1320704,10,0,0.27087,0.001,0.26996,0.001,0.26996,0.00162,0.0,300.0,0.04,0.2709,0.001,42.341675,0.3614239999999999,0.212,0.1,10.92,0.03,1.23,-999.0,57020.7227,0.2843,-2.302,0.3593,0.0232,0.0335,21.4633,0.0441,21.1405,4.6632e-05,1.8927e-06,0.0046,-0.0,-0.0,29,0.9598,0.9959,0.9386,1.0,0.9999,1.0,40.4637,0.1477,0.0,-0.1012,1.0,0.0118,39627791477509022,42.341743910154534,0.36134735106426186,1152921504606846976,GALAXY,0.27102194775857136,0
1321338,1321338,10,0,0.31153,0.001,0.31048,0.001,0.31048,0.00165,0.0,300.0,0.02,0.3115,0.001,35.940353,-6.521291000000001,0.955,0.87,9.98,0.01,0.58,-999.0,57027.6797,0.2806,1.1253,0.351,0.0017,0.0254,21.6459,0.0359,21.7836,3.9412e-05,1.3015e-06,0.0043,-0.0,-0.0,28,0.496,1.0,0.995,1.0,1.0,1.0,41.1068,0.1512,0.0,0.0192,1.0,0.0152,39627628541387519,35.94038180851752,-6.521356990185311,1152921504606846976,GALAXY,0.3115094075272918,0
1323600,1323600,10,0,0.37145,0.001,0.37044,0.001,0.37044,0.0017,0.0,300.0,0.02,0.3715,0.001,41.010426,-1.832389,2.212,1.48,10.63,0.01,0.83,-999.0,57299.5859,0.4406,0.2932,0.4025,0.0339,0.0294,22.2152,0.0434,22.239,2.3331e-05,9.3339e-07,0.0042,-0.0,-0.0,50,0.0891,0.9938,0.99,1.0,1.0,1.0,41.5622,0.1488,0.0,-0.0637,1.0,0.0106,39627743138152917,41.0104758499412,-1.8324454700814228,1152921504606846976,GALAXY,0.37149798891915997,0
1329312,1329312,10,1,0.34586,0.001,0.34478,0.001,0.34478,0.00168,0.0,300.0,0.02,0.3459,0.001,36.263176,-5.541998,0.848,0.5,10.86,0.01,1.26,-999.0,57310.4766,0.2649,-1.7376,0.2208,-0.0407,0.0198,22.0128,0.0252,21.9246,2.811e-05,6.5263e-07,0.0012,-0.0,-0.0,44,0.9932,0.6911,0.9988,0.9998,0.9999,0.9999,41.2478,0.1043,0.0,-0.0457,1.0,0.0048,39627652591521651,36.26321511453068,-5.542029245421587,1152921504606846976,GALAXY,0.34584045507734845,0
1329615,1329615,10,101,0.40474,0.001,0.4036,0.001,0.4036,0.00172,0.0,300.0,0.02,0.4047,0.001,35.442188,-5.639512,2.194,1.55,10.93,0.08,1.45,-999.0,57305.0938,0.6975,0.209,0.4355,0.0443,0.0454,22.4035,0.0525,22.407,1.9615e-05,9.493e-07,0.0033,-0.0,-0.0,41,0.572,0.9916,0.9049,0.9999,0.9997,0.9999,41.7302,0.1618,0.0,-0.0891,1.0,0.008,39627646564304483,35.44223280647467,-5.639570336294396,1152921504606846976,GALAXY,0.40479382719184603,0
1334620,1334620,10,1,0.1972,0.001,0.19624,0.001,0.19624,0.00156,0.0,300.0,0.03,0.1972,0.001,35.753036,-6.264285,0.494,0.49,10.16,0.01,0.96,-999.0,57334.9531,0.2016,-0.619,0.1941,0.1968,0.0203,21.2515,0.0276,20.621,5.6675e-05,1.4431e-06,0.001,-0.0,-0.0,36,0.6227,0.9863,0.7928,1.0,0.9995,1.0,39.9442,0.1794,0.0,-0.0638,1.0,0.0272,39627634547624088,35.75305746344019,-6.264354091483172,1152921504606846976,GALAXY,0.19701507386430891,0
1334644,1334644,10,1,0.2891,0.001,0.28805,0.001,0.28805,0.00163,0.0,300.0,0.02,0.2891,0.001,35.108238,-5.772735,3.725,1.28,11.36,0.01,1.58,-999.0,57332.6406,0.3291,-1.9594,0.2189,-0.0479,0.0254,21.5543,0.0296,21.4628,4.2882e-05,1.1698e-06,0.0008,-0.0,-0.0,43,0.809,0.9996,0.992,1.0,1.0,1.0,40.786,0.1195,0.0,-0.0556,1.0,0.0068,39627646555922180,35.108254333527746,-5.772776352109638,1152921504606846976,GALAXY,0.28914328743338125,0
1334645,1334645,10,1,0.248,0.001,0.24701,0.001,0.24701,0.0016,0.0,300.0,0.02,0.248,0.001,36.380207,-5.879127,2.256,1.36,10.47,0.05,1.16,-999.0,57335.5156,0.1936,-0.8572,0.1681,-0.0423,0.0173,20.9067,0.0224,20.954,7.7858e-05,1.6046e-06,0.0006,-0.0,-0.0,40,0.9379,0.9959,0.9867,1.0,1.0,1.0,40.2772,0.1033,0.0,-0.0345,1.0,0.0059,39627640562261141,36.3802507838326,-5.8791579886725,1152921504606846976,GALAXY,0.2321943088978605,0
