SURVEY:  DES3YR_LOWZ_COMBINED(CFA3K)
SNID:    2006N       
IAUC:    2006N       
RA:        92.13028  deg
DECL:      64.72356  deg
MWEBV: 0.096 (SFD98)
REDSHIFT_HELIO: 0.0140911174801 +- 0.000 (Hel)
REDSHIFT_CMB: 0.0140832765028 +- 0.000 (CMB)
REDSHIFT_FINAL: 0.0140832765028 +- 0.000 (CMB)
HOSTGAL_LOGMASS: 10.5440 +- 0.437
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 53760.723
FILTERS:  abcdefghijklmnopqrstuvwxyzA  # UBVri -> fghij       
#
# Variables copied from
#   /project/rkessler/SN/INTERNAL/DES/simlibs/VPEC_LOWZ.TXT
VPEC:  -19.1358251785
VPEC_ERR:  250.0
#
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS:  135
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  53811.215  g  NULL   1850.       190.6     19.332  0.103
OBS:  53813.145  i  NULL   6374.       720.2     17.989  0.113
OBS:  53813.145  j  NULL   5899.       784.6     18.073  0.133
OBS:  53813.148  h  NULL   5460.       966.4     18.157  0.177
OBS:  53813.156  f  NULL   1728.       729.3     19.406  0.422
OBS:  53813.160  g  NULL   1825.       383.2     19.347  0.210
OBS:  53817.152  i  NULL   5526.       210.0     18.144  0.038
OBS:  53817.152  j  NULL   4800.       240.0     18.297  0.050
OBS:  53817.156  h  NULL   5526.       204.5     18.144  0.037
OBS:  53818.160  h  NULL   5311.       276.2     18.187  0.052
OBS:  53818.164  i  NULL   5049.       282.7     18.242  0.056
OBS:  53818.168  g  NULL   1382.       304.0     19.649  0.220
OBS:  53827.113  i  NULL   4325.       168.7     18.410  0.039
OBS:  53827.117  j  NULL   3538.       208.8     18.628  0.059
OBS:  53827.117  h  NULL   3844.       176.8     18.538  0.046
OBS:  53827.121  g  NULL   1342.       291.1     19.681  0.217
OBS:  53828.113  i  NULL   3715.       289.8     18.575  0.078
OBS:  53833.117  i  NULL   2946.       144.3     18.827  0.049
OBS:  53833.121  j  NULL   2521.       199.2     18.996  0.079
OBS:  53833.125  h  NULL   3348.       187.5     18.688  0.056
OBS:  53833.125  g  NULL   1322.       280.2     19.697  0.212
OBS:  53834.137  i  NULL   3105.       226.6     18.770  0.073
OBS:  53834.145  h  NULL   3436.       271.4     18.660  0.079
OBS:  53834.145  g  NULL   1203.       292.4     19.799  0.243
END: 
