SURVEY:  DES3YR_LOWZ_COMBINED(CFA3K)
SNID:    2005lu      
IAUC:    2005lu      
RA:        39.01564  deg
DECL:     -17.26375  deg
MWEBV: 0.026 (SFD98)
REDSHIFT_HELIO: 0.0322358442325 +- 0.000 (Hel)
REDSHIFT_CMB: 0.0315438061953 +- 0.000 (CMB)
REDSHIFT_FINAL: 0.0315438061953 +- 0.000 (CMB)
HOSTGAL_LOGMASS: 10.1130 +- 4.474
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 53711.211
FILTERS:  abcdefghijklmnopqrstuvwxyzA  # UBVri -> fghij       
#
# Variables copied from
#   /project/rkessler/SN/INTERNAL/DES/simlibs/VPEC_LOWZ.TXT
VPEC:  110.049988293
VPEC_ERR:  250.0
#
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS: 125
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:     53788.0     x     md     916.221     40.3137     20.0950     0.0440000
OBS:     53799.0     x     md     658.264     44.1037     20.4540     0.0670000
OBS:      53720.1     y      md      10346.7    113.813    17.4630    0.0110000
OBS:      53721.1     y      md      9835.59    108.191    17.5180    0.0110000
OBS:      53726.2     y      md      7008.10    91.1053    17.8860    0.0130000
OBS:      53728.2     y      md      5975.86    95.6137    18.0590    0.0160000
OBS:      53737.1     y      md      2929.54    84.9568    18.8330    0.0290000
OBS:      53738.1     y      md      2774.60    44.3936    18.8920    0.0160000
OBS:      53745.1     y      md      1659.59    66.3834    19.4500    0.0400000
OBS:      53748.1     y      md      1456.13    64.0698    19.5920    0.0440000
OBS:      53752.1     y      md      1306.17    43.1037    19.7100    0.0330000
OBS:      53761.1     y      md      1067.58    26.6895    19.9290    0.0250000
OBS:      53720.1     z      md      12554.5    150.654    17.2530    0.0120000
OBS:      53721.1     z      md      11923.4    166.928    17.3090    0.0140000
OBS:      53726.2     z      md      9162.21    100.784    17.5950    0.0110000
OBS:      53728.2     z      md      8441.12    135.058    17.6840    0.0160000
OBS:      53737.1     z      md      7557.87    120.926    17.8040    0.0160000
OBS:      53738.1     z      md      7523.15    97.8010    17.8090    0.0130000
OBS:      53745.1     z      md      5807.64    81.3070    18.0900    0.0140000
OBS:      53748.1     z      md      4647.29    74.3567    18.3320    0.0160000
OBS:      53752.1     z      md      3698.28    62.8708    18.5800    0.0170000
OBS:      53761.1     z      md      2789.97    41.8496    18.8860    0.0150000
OBS:      53763.0     z      md      2644.84    50.2520    18.9440    0.0190000
OBS:      53765.0     z      md      2456.97    68.7952    19.0240    0.0280000
OBS:      53771.0     z      md      2062.53    51.5632    19.2140    0.0250000
OBS:      53774.0     z      md      1891.47    49.1783    19.3080    0.0260000
OBS:      53783.0     z      md      1262.41    69.4325    19.7470    0.0550000
OBS:      53799.0     z      md      774.818    72.8329    20.2770    0.0940000
OBS:      53720.1     A      md      7001.65    154.036    17.8870    0.0220000
OBS:      53721.1     A      md      6848.58    116.426    17.9110    0.0170000
OBS:      53726.2     A      md      4835.04    87.0308    18.2890    0.0180000
OBS:      53728.2     A      md      4429.96    88.5992    18.3840    0.0200000
OBS:      53737.1     A      md      5500.47    104.509    18.1490    0.0190000
OBS:      53738.1     A      md      5592.42    95.0712    18.1310    0.0170000
OBS:      53745.1     A      md      5515.69    99.2825    18.1460    0.0180000
OBS:      53748.1     A      md      4643.01    88.2173    18.3330    0.0190000
OBS:      53752.1     A      md      3587.57    71.7513    18.6130    0.0200000
OBS:      53761.1     A      md      2346.39    46.9278    19.0740    0.0200000
OBS:      53763.0     A      md      2141.90    49.2638    19.1730    0.0230000
OBS:      53765.0     A      md      2056.84    45.2505    19.2170    0.0220000
OBS:      53771.0     A      md      1601.03    62.4402    19.4890    0.0390000
OBS:      53774.0     A      md      1437.47    74.7486    19.6060    0.0520000
OBS:      53783.0     A      md      983.559    58.0300    20.0180    0.0590000
OBS:      53799.0     A      md      660.693    67.3907    20.4500    0.102000
END:
