SURVEY:  DES3YR_LOWZ_COMBINED(CFA3K)
SNID:    2006gr      
IAUC:    2006gr      
RA:       338.09449  deg
DECL:      30.82883  deg
MWEBV: 0.085 (SFD98)
REDSHIFT_HELIO: 0.0345579045809 +- 0.000 (Hel)
REDSHIFT_CMB: 0.0334425754845 +- 0.000 (CMB)
REDSHIFT_FINAL: 0.0334425754845 +- 0.000 (CMB)
HOSTGAL_LOGMASS: 11.0050 +- 0.432
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 54013.363
FILTERS:  abcdefghijklmnopqrstuvwxyzA  # UBVri -> fghij       
#
# Variables copied from
#   /project/rkessler/SN/INTERNAL/DES/simlibs/VPEC_LOWZ.TXT
VPEC:  267.580858793
VPEC_ERR:  250.0
#
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS:  129
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  54081.063  j  NULL   1228.       116.7     19.777  0.095
OBS:  54081.070  h  NULL   1056.       89.75     19.941  0.085
OBS:  54082.098  j  NULL   1159.       97.34     19.840  0.084
OBS:  54082.102  i  NULL   1700.       107.1     19.424  0.063
OBS:  54086.125  j  NULL   1059.       118.6     19.938  0.112
OBS:  54086.129  i  NULL   1397.       96.39     19.637  0.069
OBS:  54095.066  j  NULL   799.5       97.53     20.243  0.122
OBS:  54095.066  i  NULL   1111.       85.52     19.886  0.077
OBS:  54095.070  h  NULL   824.9       90.74     20.209  0.110
OBS:  54101.105  h  NULL   793.6       112.7     20.251  0.142
OBS:  54102.117  h  NULL   856.6       105.4     20.168  0.123
OBS:  54117.078  j  NULL   526.3       153.1     20.697  0.291
OBS:  54117.082  i  NULL   479.1       137.5     20.799  0.287
END: 
