SURVEY:  DES3YR_LOWZ_COMBINED(CFA3K)
SNID:    2006ax      
IAUC:    2006ax      
RA:       171.01430  deg
DECL:     -12.29153  deg
MWEBV: 0.051 (SFD98)
REDSHIFT_HELIO: 0.0164969703239 +- 0.000 (Hel)
REDSHIFT_CMB: 0.0177266895771 +- 0.000 (CMB)
REDSHIFT_FINAL: 0.0177266895771 +- 0.000 (CMB)
HOSTGAL_LOGMASS:  5.0 +- 10.0   # RK 1/08/2018
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 53827.512
FILTERS:  abcdefghijklmnopqrstuvwxyzA  # UBVri -> fghij       
#
# Variables copied from
#   /project/rkessler/SN/INTERNAL/DES/simlibs/VPEC_LOWZ.TXT
VPEC:  -56.5091017456
VPEC_ERR:  250.0
#
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS: 283
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  53846.199  i  NULL  0.3705E+05   852.2     16.078  0.023
OBS:  53846.199  j  NULL  0.2168E+05   390.2     16.660  0.018
OBS:  53846.203  h  NULL  0.3830E+05   612.8     16.042  0.016
OBS:  53846.203  f  NULL  0.1594E+05   573.7     16.994  0.036
OBS:  53846.207  f  NULL  0.1649E+05   643.1     16.957  0.039
OBS:  53846.211  g  NULL  0.2068E+05   372.3     16.711  0.018
OBS:  53848.176  i  NULL  0.3678E+05   588.5     16.086  0.016
OBS:  53848.176  j  NULL  0.2274E+05   363.9     16.608  0.016
OBS:  53848.176  h  NULL  0.3493E+05   524.0     16.142  0.015
OBS:  53848.180  f  NULL  0.1254E+05   489.2     17.254  0.039
OBS:  53848.184  f  NULL  0.1255E+05   489.6     17.253  0.039
OBS:  53848.188  g  NULL  0.1678E+05   302.0     16.938  0.018
OBS:  53849.184  i  NULL  0.3644E+05   619.5     16.096  0.017
OBS:  53849.184  j  NULL  0.2368E+05   473.6     16.564  0.020
OBS:  53849.184  h  NULL  0.3345E+05   501.8     16.189  0.015
OBS:  53849.188  f  NULL  0.1122E+05   471.3     17.375  0.042
OBS:  53849.191  f  NULL  0.1182E+05   496.6     17.318  0.042
OBS:  53849.195  g  NULL  0.1515E+05   272.7     17.049  0.018
OBS:  53857.254  h  NULL  0.2245E+05   359.2     16.622  0.016
OBS:  53857.258  i  NULL  0.2860E+05   657.8     16.359  0.023
OBS:  53857.258  j  NULL  0.2496E+05   499.1     16.507  0.020
OBS:  53857.262  g  NULL   7943.       206.5     17.750  0.026
OBS:  53858.180  i  NULL  0.2798E+05   447.6     16.383  0.016
OBS:  53858.180  j  NULL  0.2441E+05   439.4     16.531  0.018
OBS:  53858.184  h  NULL  0.2158E+05   345.2     16.665  0.016
OBS:  53858.184  f  NULL   5954.       446.5     18.063  0.075
OBS:  53858.188  f  NULL   5526.       403.4     18.144  0.073
OBS:  53858.191  g  NULL   7849.       164.8     17.763  0.021
OBS:  53859.156  i  NULL  0.2650E+05   424.0     16.442  0.016
OBS:  53859.156  j  NULL  0.2379E+05   404.4     16.559  0.017
OBS:  53859.160  h  NULL  0.2044E+05   347.4     16.724  0.017
OBS:  53859.160  f  NULL   5440.       364.5     18.161  0.067
