Field Band MY t_eff_cut psf_cut n_exp t_exp_tot m_lim
SN-S2 g 1 0.26 2.4 65 3.16 26.25
SN-S2 g 2 0.26 2.4 52 2.53 26.1
SN-S2 g 3 0.26 2.4 51 2.48 26.11
SN-S2 g 4 0.26 2.4 46 2.24 26.09
SN-S2 g 5 0.26 2.4 50 2.43 26.11
SN-S2 r 1 0.2 2.2 73 3.04 25.92
SN-S2 r 2 0.2 2.2 58 2.42 25.79
SN-S2 r 3 0.2 2.2 57 2.38 25.8
SN-S2 r 4 0.2 2.2 51 2.12 25.73
SN-S2 r 5 0.2 2.2 57 2.38 25.76
SN-S2 i 1 0.2 2.2 86 4.78 25.8
SN-S2 i 2 0.2 2.2 67 3.72 25.53
SN-S2 i 3 0.2 2.2 66 3.67 25.7
SN-S2 i 4 0.2 2.2 63 3.5 25.63
SN-S2 i 5 0.2 2.2 66 3.67 25.69
SN-S2 z 1 0.3 2.2 173 9.61 25.41
SN-S2 z 2 0.3 2.2 131 7.28 25.33
SN-S2 z 3 0.3 2.2 140 7.78 25.25
SN-S2 z 4 0.3 2.2 125 6.94 25.24
SN-S2 z 5 0.3 2.2 131 7.28 25.38
SN-C1 g 1 0.26 2.4 76 3.69 26.52
SN-C1 g 2 0.26 2.4 58 2.82 26.4
SN-C1 g 3 0.26 2.4 58 2.82 26.41
SN-C1 g 4 0.26 2.4 54 2.62 26.38
SN-C1 g 5 0.26 2.4 62 3.01 26.46
SN-C1 r 1 0.2 2.2 83 3.46 26.18
SN-C1 r 2 0.2 2.2 65 2.71 26.07
SN-C1 r 3 0.2 2.2 63 2.62 26.08
SN-C1 r 4 0.2 2.2 59 2.46 25.97
SN-C1 r 5 0.2 2.2 66 2.75 26.07
SN-C1 i 1 0.2 2.2 103 5.72 25.83
SN-C1 i 2 0.2 2.2 78 4.33 25.76
SN-C1 i 3 0.2 2.2 79 4.39 25.8
SN-C1 i 4 0.2 2.2 77 4.28 25.83
SN-C1 i 5 0.2 2.2 79 4.39 25.79
SN-C1 z 1 0.3 2.2 195 10.83 25.52
SN-C1 z 2 0.3 2.2 149 8.28 25.3
SN-C1 z 3 0.3 2.2 153 8.5 25.41
SN-C1 z 4 0.3 2.2 140 7.78 25.46
SN-C1 z 5 0.3 2.2 151 8.39 25.54
SN-C2 g 1 0.26 2.4 76 3.69 26.5
SN-C2 g 2 0.26 2.4 57 2.77 26.34
SN-C2 g 3 0.26 2.4 59 2.87 26.34
SN-C2 g 4 0.26 2.4 55 2.67 26.32
SN-C2 g 5 0.26 2.4 61 2.97 26.39
SN-C2 r 1 0.2 2.2 90 3.75 26.21
SN-C2 r 2 0.2 2.2 70 2.92 26.08
SN-C2 r 3 0.2 2.2 68 2.83 26.16
SN-C2 r 4 0.2 2.2 63 2.62 26.06
SN-C2 r 5 0.2 2.2 73 3.04 26.09
SN-C2 i 1 0.2 2.2 97 5.39 25.89
SN-C2 i 2 0.2 2.2 76 4.22 25.76
SN-C2 i 3 0.2 2.2 74 4.11 25.86
SN-C2 i 4 0.2 2.2 69 3.83 25.76
SN-C2 i 5 0.2 2.2 76 4.22 25.78
SN-C2 z 1 0.3 2.2 192 10.67 25.54
SN-C2 z 2 0.3 2.2 146 8.11 25.38
SN-C2 z 3 0.3 2.2 151 8.39 25.31
SN-C2 z 4 0.3 2.2 139 7.72 25.54
SN-C2 z 5 0.3 2.2 148 8.22 25.55
SN-C3 g 1 0.06 2.4 292 16.22 27.15
SN-C3 g 2 0.06 2.4 226 12.56 27.01
SN-C3 g 3 0.06 2.4 230 12.78 26.96
SN-C3 g 4 0.06 2.4 212 11.78 27.05
SN-C3 g 5 0.06 2.4 220 12.22 27.06
SN-C3 r 1 0.2 2.2 255 28.33 27.15
SN-C3 r 2 0.2 2.2 200 22.22 26.93
SN-C3 r 3 0.2 2.2 199 22.11 26.85
SN-C3 r 4 0.2 2.2 187 20.78 27.14
SN-C3 r 5 0.2 2.2 191 21.22 27.1
SN-C3 i 1 0.4 2.2 365 36.5 26.76
SN-C3 i 2 0.4 2.2 296 29.6 26.63
SN-C3 i 3 0.4 2.2 291 29.1 26.6
SN-C3 i 4 0.4 2.2 277 27.7 26.07
SN-C3 i 5 0.4 2.2 267 26.7 26.76
SN-C3 z 1 0.5 2.2 879 80.58 26.16
SN-C3 z 2 0.5 2.2 669 61.33 25.94
SN-C3 z 3 0.5 2.2 691 63.34 25.92
SN-C3 z 4 0.5 2.2 637 58.39 26.15
SN-C3 z 5 0.5 2.2 640 58.67 26.14
SN-X1 g 1 0.26 2.4 69 3.35 26.07
SN-X1 g 2 0.26 2.4 53 2.58 26.04
SN-X1 g 3 0.26 2.4 54 2.62 26.04
SN-X1 g 4 0.26 2.4 51 2.48 25.89
SN-X1 g 5 0.26 2.4 53 2.58 25.96
SN-X1 r 1 0.2 2.2 78 3.25 26.12
SN-X1 r 2 0.2 2.2 61 2.54 26.03
SN-X1 r 3 0.2 2.2 62 2.58 26.0
SN-X1 r 4 0.2 2.2 57 2.38 25.84
SN-X1 r 5 0.2 2.2 58 2.42 25.96
SN-X1 i 1 0.2 2.2 88 4.89 25.78
SN-X1 i 2 0.2 2.2 67 3.72 25.63
SN-X1 i 3 0.2 2.2 72 4.0 25.68
