,ID,host_g,host_g_err,host_r,host_r_err,host_i,host_i_err,host_z,host_z_err,local_g,local_g_err,local_r,local_r_err,local_i,local_i_err,local_z,local_z_err
0,1247022,1.763209104702567e-28,6.213386793400008e-31,4.717126900639971e-28,7.274516586003894e-31,6.755191080127242e-28,1.0595303424121504e-30,8.28914235740931e-28,1.4645540197743298e-30,2.8746407016932087e-29,9.053209804421036e-31,7.535321479621478e-29,3.0210842856097113e-30,1.0172985311077387e-28,2.8909242547705086e-30,1.365409880681547e-28,4.962141673809325e-30
1,1249308,2.0305365148945943e-27,1.1774473967945247e-30,5.142368317022797e-27,1.5600918705191768e-30,7.838103936163428e-27,1.948659393779496e-30,9.156547443726094e-27,2.8132757698200203e-30,9.053573384326407e-29,4.5559388237301924e-30,2.0857606183704703e-28,6.2475853176051865e-30,3.1294826528459277e-28,6.590103656203597e-30,3.7425929764953783e-28,7.958782082759965e-30
2,1249182,9.653218971919347e-29,7.91510892884075e-31,4.2821158168238755e-28,9.873572288542586e-31,8.879845687566154e-28,1.2940326304929358e-30,1.1678719397657074e-27,1.7786234886558073e-30,1.605611593059453e-29,3.7229278564267573e-31,8.4875640395107e-29,2.143712085177612e-30,1.658450601197567e-28,5.3362738986192214e-30,2.286694790471557e-28,7.653664564756045e-30
3,1249264,1.8092188981143229e-29,4.283277760609304e-31,8.059892532285207e-29,5.713296558627685e-31,1.5803080829974522e-28,7.776784024612676e-31,2.214653122090203e-28,1.0814424640416516e-30,4.462013327650604e-30,1.804454851563055e-31,2.00065212320017e-29,5.663909568687011e-31,4.0591056159818336e-29,1.0332280532906649e-30,6.240149734965478e-29,1.6705406302295203e-30
4,1249395,3.39034835543821e-29,5.689896688784273e-31,1.4226472356097663e-28,7.513382401015868e-31,2.596962319421754e-28,9.229088045190047e-31,3.416887659355423e-28,1.3750083523338421e-30,3.858122533490328e-30,1.2546758798032872e-31,1.3074899428226412e-29,4.387971961116054e-31,2.728458355080969e-29,8.120342433273953e-31,3.592097699162268e-29,9.015922431987063e-31
5,1248677,7.119019648701439e-29,2.9740068446085508e-31,1.412076044356007e-28,3.0738516603067742e-31,1.7334237119318532e-28,4.750701609463666e-31,2.1176312864455278e-28,7.754102437625804e-31,6.16797030131663e-30,2.450713476142449e-31,9.88360128810627e-30,5.117023289004954e-31,1.1884598584874939e-29,1.3482498599764556e-30,1.6024914823445054e-29,1.9150075812608296e-30
6,1248084,2.557374849237297e-28,5.582698179984864e-31,7.826549779671585e-28,5.530065591670991e-31,1.2707203194451107e-27,1.0069597070937886e-30,1.5653749669765775e-27,1.3657626174427274e-30,2.7232377656967165e-29,5.831624146350968e-31,1.0587790842296824e-28,5.303385274817572e-30,1.7656045645800535e-28,5.0384533801937695e-30,2.3322433250578288e-28,1.0100994659131143e-29
7,1248962,8.366275806361363e-30,3.600794575918134e-31,4.076872061248614e-29,4.277346952309221e-31,6.985021120957475e-29,6.215395294220902e-31,1.0611942875521415e-28,8.332967867965026e-31,3.0729981052543013e-30,1.4815600038504104e-31,1.3853294107080765e-29,3.742437410453259e-31,2.502624756982149e-29,5.833834196034497e-31,3.758255369349835e-29,1.2968794470657413e-30
8,1246626,1.9444381466961038e-28,4.268509130836918e-31,4.950947065501022e-28,3.951130638232312e-31,7.558402187420454e-28,7.545010223871396e-31,9.364049210164749e-28,1.0045348948350924e-30,8.734484214820626e-30,3.09780256010348e-31,2.2732562600653386e-29,6.409701080649641e-31,3.085440320641779e-29,1.0202030251449199e-30,3.943214003008243e-29,2.5076761606003012e-30
9,1249090,1.560537721503012e-28,9.176403983677966e-31,7.3917355470275435e-28,1.1698636869024152e-30,1.3495370080419272e-27,1.7185483765276282e-30,1.6830909070426062e-27,2.261757234431824e-30,4.851799966418991e-30,2.1877052161823016e-31,2.2900330834058747e-29,5.470919577302579e-31,3.916939036323141e-29,9.231309913582012e-31,4.904700719384431e-29,1.4346600724474425e-30
10,1246527,3.446695815943884e-28,6.317255903572161e-31,1.3498351602293716e-27,5.953233079016596e-31,2.3222849863847e-27,1.0764176278068823e-30,2.794457089306869e-27,1.4685442747885287e-30,1.5752137884110738e-29,3.6430573622132783e-31,5.316174879942313e-29,1.838032549336801e-30,7.552841260962492e-29,2.1990358529885308e-30,1.1081824008454107e-28,5.995939147429934e-30
11,1246529,4.124546338952035e-29,6.931537803429224e-31,1.2156241359787703e-28,6.578305672352635e-31,1.9457701714955429e-28,1.1499542739491522e-30,2.955047697666126e-28,1.6518588631274857e-30,3.0711882254670483e-30,8.335208391209484e-32,1.4672543963859725e-29,5.0751389755781485e-31,2.7167382227611686e-29,7.915624462352258e-31,4.3180243707367537e-29,2.3361361838947423e-30
12,1249483,4.826578491273538e-28,9.224309927517893e-31,1.4365953869690564e-27,1.344995055835845e-30,2.1569986489328227e-27,1.5308486462928731e-30,2.5820083602187356e-27,2.059675643709584e-30,1.1727979204352883e-28,3.9787940233319985e-30,3.571602721007689e-28,1.1298557543542113e-29,5.612573393834507e-28,2.9334603048453767e-29,7.260421534250231e-28,2.5768428711033344e-29
13,1250034,1.3138969630364591e-27,9.60761485172782e-31,2.487765543044694e-27,1.1994088412594094e-30,3.473409745794416e-27,1.5170526740777335e-30,4.033310893305999e-27,2.3583585375278866e-30,3.976354213837983e-28,8.207154395636701e-30,7.6640132413956285e-28,1.495848537932968e-29,1.0164475861588902e-27,2.3906999603545987e-29,1.373375057740682e-27,5.111404980881696e-29
14,1250275,3.750975183870049e-29,4.373981996873447e-31,1.614970367153551e-28,5.817639717595566e-31,2.569933473240536e-28,7.106467257218007e-31,3.242366125998445e-28,1.0532152218036826e-30,1.752035556479389e-29,4.248435514302158e-31,6.753968831730973e-29,2.2110088346120762e-30,1.108535409075394e-28,3.264298912901402e-30,1.4440619571966634e-28,3.5822977290250125e-30
15,1250357,1.1730497599315615e-28,6.647415350003383e-31,3.8419019524461215e-28,8.747909000869281e-31,6.0882982659549935e-28,1.0816211311234724e-30,7.910853817747841e-28,1.5054764857125842e-30,1.3028615588271892e-29,4.152782209648585e-31,3.439478295003185e-29,1.2250596574346372e-30,5.5521487045227e-29,2.424367604261129e-30,7.462119507131378e-29,2.0471362453855697e-30
16,1248243,1.949472921495138e-29,3.589484149454654e-31,3.979820379879616e-29,3.990040575849892e-31,4.9408696506625544e-29,5.4524741918137645e-31,6.375069046926818e-29,8.401643051381972e-31,1.4237541335540393e-29,3.565104621273633e-31,2.781095653106056e-29,7.665664696598223e-31,3.424619110557733e-29,8.111551629146304e-31,4.2697825268664876e-29,1.4408351974864412e-30
17,1248925,3.5281444493843214e-29,3.62592157209203e-31,7.674206577773421e-29,4.564885557501221e-31,1.0139041225610975e-28,6.238432815393693e-31,1.3728774449472278e-28,9.019375285901944e-31,1.4575292794576458e-29,5.791608960016983e-31,3.3415440975904457e-29,9.213650631984646e-31,4.2119166829515244e-29,1.3819592971509049e-30,5.531442153469775e-29,1.9180947587525526e-30
18,1249209,1.851958088776995e-29,3.5373814329002384e-31,8.755753544864435e-29,4.952765333034735e-31,1.452383859745725e-28,6.203396311451674e-31,1.8945735373415085e-28,9.021585393891467e-31,8.165247315928597e-30,3.051035143249028e-31,4.1903645099376657e-29,1.2398075104845791e-30,6.399031011398332e-29,2.53954710596066e-30,8.277691807242263e-29,2.703441716409686e-30
19,1249142,1.262126085635354e-28,6.108486983847505e-31,2.9948557875593683e-28,8.037612005756443e-31,3.7358054228985037e-28,1.0266799425266173e-30,4.45801674694803e-28,1.4381975033469592e-30,1.2320557046457046e-29,3.9375692436335774e-31,3.17546619920238e-29,7.978640708079843e-31,3.646571485398351e-29,1.084954109558176e-30,4.662367768330198e-29,1.5172882845870656e-30
