,CIDint,z,zHDERR,Local Mass,Local Mass error,Local U-R,Local U-R error,Host Mass,Host Mass error,Host U-R,Host U-R error
36,1250925,0.5514,0.0001,10.108943,0.13136251,1.8383598,0.12595475,11.202729,0.1564366,1.5728416,0.021231143
37,1251381,0.4531,0.0001,9.795149,0.119466536,1.6239967,0.059934247,10.810546,0.03506787,1.5766907,0.016093556
38,1251390,0.434,0.0001,10.052497,0.12015946,1.5673752,0.05091483,10.488946,0.026085146,1.5206108,0.01625525
39,1251436,0.5735,0.0001,8.794633,0.10085413,1.1063194,0.13233781,10.236621,0.012285034,0.8304596,0.023913186
40,1251536,0.5273,0.0001,9.35897,0.04002964,0.8829155,0.08512289,10.754451,0.0130228745,0.939621,0.020223144
41,1251552,0.3549,0.0001,9.073485,0.058093127,0.4904518,0.05189469,9.9257555,0.012520555,0.47174835,0.014192498
42,1251600,0.5576,0.0001,10.163333,0.07033723,1.706356,0.119506925,10.666635,0.046355195,1.5254555,0.020930313
43,1251975,0.4465,0.0001,10.210458,0.038689844,1.2854233,0.077637516,10.85436,0.048598986,1.1993561,0.018001849
44,1252142,0.5529,0.0001,10.018125,0.07269534,1.6372337,0.07048728,10.457917,0.018036382,1.639595,0.023624046
45,1252364,0.5415,0.0001,10.092055,0.085477546,0.94013214,0.06499768,10.632545,0.042197254,0.94431305,0.019275252
46,1252449,0.4654,0.0001,8.90839,0.07302152,1.1643829,0.11939117,10.132666,0.015666733,1.0262299,0.01675815
47,1252751,0.5606,0.0001,10.212841,0.08896795,1.4499397,0.064432,10.530462,0.026817018,1.3983421,0.024649244
48,1252829,0.4517,0.0001,10.512267,0.14078856,1.9169617,0.09478052,10.745433,0.073836,1.5982323,0.020527044
49,1252970,0.462,0.0001,9.741724,0.08566513,0.96736145,0.07009697,10.34764,0.0141326105,0.9591446,0.016874105
50,1253029,0.3461,0.0001,9.009708,0.039114323,1.0967369,0.055367995,10.287285,0.012030117,1.1200523,0.022759276
51,1253046,0.5013,0.0001,9.143225,0.088448904,1.2989502,0.075979754,10.495217,0.05673106,1.4005013,0.03361709
52,1253101,0.4533,0.0001,7.9249296,0.12772666,0.0719223,0.13673201,8.594834,0.07416979,0.76132584,0.10965253
53,1253119,0.3192,0.0001,10.540933,0.10407485,1.7727966,0.038316943,11.00002,0.049666468,1.5193558,0.018918535
54,1253180,0.4615,0.0001,9.177082,0.06805753,1.1615486,0.099948235,10.762815,0.013518198,1.3005219,0.016979525
55,1253243,0.5773,0.0001,9.355994,0.0831533,1.4137192,0.09923075,10.614555,0.030218028,1.56604,0.028304499
56,1253474,0.4467,0.0001,10.227321,0.08104177,1.5453606,0.09433256,10.965311,0.01803712,1.4620895,0.015212597
